geneID	S1	S2	S3	S4	S5	Control
Throt3267	0.3366620743349482	0.4695282771690294	-0.23875110265296007	0.3399543535422567	-0.4791037369748213	-0.004449483752057254
Throt439	0.9003171526882426	0.8130732969536054	0.6153638874266362	0.6820881504895189	1.4496399237317548	0.0675419898611568
Throt533	0.22815216686678647	0.2993215053683209	-0.1310403642644629	0.27614049521899786	-0.13672897459647218	0.0356222041808145
Throt1584	-0.027357277372930745	0.028110395256353105	-0.027357277372930745	-0.027357277372930745	-0.027357277372930745	-0.027357277372930745
Throt93	0.2639313192878754	0.2668481445122895	-0.0836755009840778	0.35978089606504465	-0.1578999588808813	0.03513203899960213
Throt627	0.266359316147244	0.5048180109902733	-0.25530375110059295	0.40770327574727566	-0.3580166437188227	-0.32971538437213965
Throt2971	0.21853657274081648	0.3304434562186451	-0.14875105627057436	0.39335542351814157	-0.16314878991256182	0.103696658023989
Throt1582	0.22925361746280612	0.46642873985656225	-0.24589086285452752	0.37713496422685766	-0.3160282227580909	-0.1588657634824971
Throt1583	-0.03793849688744023	0.006016589864657282	-0.03793849688744023	-0.03793849688744023	-0.03793849688744023	-0.027134721355779903
Throt5219	0.35217535327525124	0.2614372357711504	0.006235532392255331	0.3200682943710708	-0.08949217182433698	0.08207639664441958
Throt8505	0.23569407351792043	0.2518828999640501	-0.19962144776753174	0.4498325118896774	-0.21483123881308364	0.047602490561273816
Throt723	0.3004596030353269	0.4573981947921661	-0.17190983901743992	0.43816534395843876	-0.28589288527729906	-0.15135144038519605
Throt1127	0.20616231111032918	0.26290992597122315	-0.1920495746933694	0.35567034697807365	-0.24129108567873503	-0.16566695747605925
Throt277	0.24447705641042464	0.3503224030286272	-0.18378707099799735	0.3730031864147084	-0.20494728369786303	0.0020157182164954927
Throt11844	0.1962873605358643	0.4836472906777176	-0.25702231462379327	0.3004477928974873	-0.27007921577205457	-0.14334336759464272
Throt132	0.2232843186089821	0.28291972149996236	-0.18552984672145034	0.3117485987424341	-0.2553291780368306	-0.10205778552349166
Throt138	0.8270878575740126	3.0084142441574517	0.5934470561299016	0.5698988891243758	1.4297004297304954	-0.019082317720362302
Throt4467	0.2433311618671572	0.33353563237445827	-0.2820525728834409	0.26198788617509006	-0.237369695387384	-0.17247188557379195
Throt80	0.2365126962659383	0.2506367410028819	-0.10095077873129399	0.3024516627700541	-0.23895422975036293	-0.08293824510269948
Throt8048	-21.80014400576022	-484.50801319724013	-13.373079719568873	-49.14860949915338	-59.81092779064696	-1.2470680645407632
Throt114	0.11014994386767872	0.3747996758732484	-0.2112843762833468	0.34532677665176786	-0.2791160684515473	-0.11686089530829046
Throt441	0.6990769230769232	8.17983842641377	1.7793247476505398	0.5830766974629712	0.7437336326225216	3.7513597513597525
Throt12516	0.25041263746347253	0.14284192089847011	-0.12228060124265903	0.23839018561670566	-0.10711095374948068	0.049788510056449374
Throt699	0.27607415666958296	0.2693235278233005	-0.10750757352032879	0.34885613845667424	-0.185285358050582	-0.0005827078833720384
Throt6586	0.35583125722236414	0.26702287682956305	-0.06070781469253337	0.342514485985968	-0.08616042427338695	0.11066136891729511
Throt1727	0.1211690442794918	0.3734702991940937	-0.34436640825887754	0.3074048581484865	-0.5633177956543219	-0.3900766111714858
Throt44	0.18018900907350702	0.3388295009878592	-0.17169971023526004	0.39854315510991006	-0.25437692082190694	-0.08026644180744763
Throt1706	0.42841018714923834	0.2240975741478338	-0.06202595397708556	0.31089077636939066	-0.13197651094254223	0.08749198287185467
Throt228	0.27935618235570364	0.22026064937880802	-0.06427277063460013	0.2664218527604093	-0.11574865756247404	0.06313500336687503
Throt13928	0.41068094298863506	0.21534781808754422	-0.3361047043608825	0.18926861865709188	-0.32893032893032925	-0.3428385479667533
Throt3530	0.29523884911757986	0.5163207547040424	-0.1383071390544418	0.3663158144680463	-0.17380550703932332	-0.06705475778592111
Throt2963	0.27704226776073065	0.30064380413443725	-0.10667219304449914	0.28657408623909836	-0.1968596484563801	-0.021682730076707075
Throt631	0.28278479443919585	0.21650582610569205	-0.06597601839794275	0.3029211777834571	-0.14479509103902125	0.02042241156737451
Throt634	0.20044312326186547	0.3049709204669103	-0.16323401180681313	0.2647172932267747	-0.20258300329846346	-0.014218044587092403
Throt1559	-0.18700135121089287	-0.15268726899107363	-0.19163306366638444	-0.15239888290632028	1.0252675737032875	-0.1901116010875911
Throt18467	0.18247817960131488	0.7516069636582275	0.12290949323407975	0.7219405449210744	-0.21329550034643194	-0.026838139645978046
Throt569	0.41599203312658295	0.5421955166166889	-0.002617732152251065	0.8199534830589496	-0.4719210783778309	-0.4966091280119065
Throt7083	0.09707283606006961	0.3751300443935192	-0.21317813353675136	0.33816875331433105	-0.3237388135425436	-0.10686525969171784
Throt147	0.29569715385514295	0.19518076023765243	-0.0863838058436707	0.39265923524547097	-0.1386532877486561	-0.014034245203420042
Throt71	0.0851732225903094	0.374748886158172	-0.27184044744877844	0.3354806015914877	-0.3398813717874086	-0.1805755433122662
Throt99	0.3384496707377196	0.3593299216498719	-0.0033107147525477457	0.44543276809622145	-0.11284619922030277	0.026763124876799476
Throt72	0.15169775400640687	0.4364878685806708	-0.2753718682979069	0.38550957683839693	-0.3390825101689426	-0.2239937083123555
Throt282	-0.14116932063056647	5.164826187031517	0.1481839962209661	0.3869967882991727	0.49270245396748885	0.08557751538960477
Throt148	0.31188575402154584	0.33185821712753655	-0.06208718292792802	0.5067925456832044	-0.12426559502483181	-0.051241119656741316
