geneID	S1	S2	S3	S4	S5	Control
Throt91	5.653801168552703	-0.11805107842775703	0.4705086281240445	1.25807692182564	1.0829515640912553	0.0608750186887274
Throt2274	0.039720279720279715	0.7481559536354058	0.04493244312248837	0.5679318481782186	0.21732476277930823	0.30091121000211907
Throt17	4.0589877240657195	-0.013467066201769162	0.4607735303171265	1.9626261310904543	1.5845055877187253	0.003170280417439359
Throt4985	0.40779487179487184	0.4488935721812434	0.13180183315929925	1.1661533949259424	0.5312383090160869	0.07355607355607358
Throt1658	0.06026525198938992	0.5417681043566732	0.06817336197894788	0.04308448503420969	0.0274778435697976	0.07609248988559335
Throt12	4.437624235449581	-0.05078289887414792	0.4038877447830301	1.2296703318048454	1.1454141834801377	0.028205891205904644
Throt10	4.840398957606738	-0.08424450099504503	0.445123158831259	1.349541404219377	1.3697352668634895	0.01642301061231797
Throt10088	-0.11587163360748268	-0.03985736489955548	-0.06342018470322365	0.9543062009769334	0.9773762895808361	-0.025511956699526068
Throt18	4.152163889353742	-0.0677545480960467	0.4172296787943502	1.7236062778637766	1.3876575227697718	0.016057191744841458
Throt1303	0.17192788244421536	1.4372973476283377	0.0861954823018863	0.3377069988693032	0.09398431772860992	-0.031142022712096477
Throt93	0.2639313192878754	0.2668481445122895	-0.0836755009840778	0.35978089606504465	-0.1578999588808813	0.03513203899960213
Throt2971	0.21853657274081648	0.3304434562186451	-0.14875105627057436	0.39335542351814157	-0.16314878991256182	0.103696658023989
Throt881	0.04519893899204244	0.5933650666763564	0.08521670247368486	0.08616897006841938	0.137389217848988	0.07609248988559335
Throt669	6.875480815987865	7.248287909967747	1.038420670719354	11.101814822582018	0.06509847454102795	-0.2134702381154793
Throt882	5.620334920665016	-0.36000220009701706	0.715803589652009	1.7794959747298635	1.825642042743241	-0.09230235349246478
Throt557	11.451061734870587	1.2610896459488388	0.6632707641003925	0.1441628631424093	1.3278398442103534	0.14149277874749908
Throt556	-0.252288899586021	-0.17453851033496826	-0.19366951466918056	-0.009257502366299328	0.35895486642253444	-0.041427075219315525
Throt9065	0.10923076923076923	0.43642430628732004	0.49425687434737214	0.8329667106613873	0.19921436588103256	0.0
Throt2661	1.9866038911583466	-0.041877541284160075	-0.1564850184983692	0.041118828116863584	0.04191391361358362	-0.18304190558916036
Throt1025	-0.08528674526449087	0.42869718175538724	0.009078264363822643	-0.04751738304474115	-0.012899361729481387	0.1227037068817421
Throt59	4.973033302162667	-0.10792198186493687	0.5731153240684884	2.0085953398613037	1.566695618179468	-0.028104376358188476
Throt313	5.8903833781585	-0.3772911072989201	0.6357806695299157	1.4018994532356464	1.2980311079029025	0.06802459027866044
Throt157	8.883675547075258	-0.7185052350507873	0.22174808572605087	1.4991375738940673	1.676183248527231	-0.05882657302036897
Throt2177	-0.11052522726699503	2.795325673225058	-0.03120793791841574	0.06001737986204873	-0.13302730807063562	0.03744300104785374
Throt153	0.8379452565288937	1.960055790730328	1.209484587148479	2.091303689466578	2.044986269715463	0.08779102159974189
Throt89	0.26535496968625655	0.10410067381940517	-0.13004549797977705	0.19329634456933384	-0.3276166819650267	-0.0198574735486908
Throt12577	0.0	0.5985247629083248	0.06590091657964962	0.08329667106613874	0.5312383090160869	0.2942242942242943
Throt12578	0.0023966036225705873	-0.03655319746329964	0.3310883812213849	0.09835074032238052	0.6981740296224198	0.022336355745086803
Throt9310	0.12483516483516482	0.05343971097395755	0.38834468698722097	0.5354785997108917	0.7968574635241301	0.0
Throt86	29.206993706945127	0.23913414145724649	1.3983316506761845	5.0827035631855875	3.831372792764275	0.031837934082724
Throt1785	0.003772747690992922	0.7430677259205375	-0.059309416983002565	0.23635178306448268	0.15275182149559016	-0.08002798132409301
Throt80	0.2365126962659383	0.2506367410028819	-0.10095077873129399	0.3024516627700541	-0.23895422975036293	-0.08293824510269948
Throt15	4.860818428964422	-0.7383607201396643	0.13370564854759812	1.6106388168323604	1.7542344143199249	-0.16032082564409098
Throt82	1.0914552779092603	-0.07734536587637217	0.18592593740165314	0.5081746082228454	0.6080314139994842	0.01718791629579458
Throt3873	2.0039963967584455	7.807284707145186	2.1157319092306692	0.23305661027714067	1.431231715915045	1.1358260759451742
Throt7560	0.0	0.06801417760321869	0.0	0.0	0.0	0.10030373666737304
Throt798	0.2570135746606335	0.5281100849191099	0.2907393378513954	0.07349706270541652	0.2343698422129795	0.4543169249051603
Throt7563	-0.0822163680050951	0.5845679063375967	0.10656935414235093	0.0768630805151021	0.06996695964069961	-0.0822163680050951
Throt1418	0.029041350913799734	1.2037247325129534	0.043640780093202235	0.23594252903529933	0.01923918375876806	-0.0822163680050951
Throt7	3.441362408212339	-0.022425956573363062	0.4013830788069971	1.6201535518223593	1.410875943108378	0.05473153544787274
Throt631	0.28278479443919585	0.21650582610569205	-0.06597601839794275	0.3029211777834571	-0.14479509103902125	0.02042241156737451
Throt3	5.070735510804189	-0.4602794247097309	0.22873517503475296	1.2700841536168856	1.4651813332338148	0.008983523480580964
Throt1	23.401296068939146	2.1999411442279384	1.1133563244609417	1.2694268688793495	1.3245723086468415	0.1888631290275469
Throt7918	0.5825641025641025	0.8728486125746401	0.49425687434737214	0.10412083883267341	0.13280957725402173	0.0
Throt3303	0.0018879452284802174	0.20328205622643641	0.09136106644561649	-0.004118729754033192	0.1466919156297066	0.03560908877522461
Throt9	7.610538059553258	-0.07987024311693261	0.521365461754895	1.2869476272942306	1.389945476829859	0.04870888599000033
Throt564	-0.2137588438958302	1.7262321811450672	0.0043897569752363134	-0.07589238320454686	-0.1258322262888473	0.4558361671111935
Throt169	2.923111658674334	5.236524827494157	2.933063424851363	10.347780977833592	2.0110362920778773	-0.32221611316902005
Throt562	-0.6805498695118957	-0.6441716031455761	-0.43536268919556836	0.16137137054088357	-0.0015049399901725256	-0.029946668502520733
Throt488	2.539427069457116	-0.1522207093797883	0.5573555919663662	1.765219532535581	1.640063598884182	0.043054763485784346
Throt11176	0.16991452991452993	0.12469265893923431	0.027458715241520673	0.0	0.17707943633869563	0.06129672796339464
Throt7594	0.7864615384615384	1.945205479452055	0.3624550411880729	0.33318668426455494	0.21249532360643478	0.07355607355607358
Throt675	0.07781073620387943	2.9412195555516543	0.051953587260680806	0.1081909260923934	0.11858073957561305	0.08888860258613544
