gene	A	B	C	D	E
Skcos13553	27	12	10	18	16
Skcos13554	9	1	2	8	1
Skcos13555	25	0	7	1	8
Skcos13556	19	1	2	21	1
Skcos13557	5	4	5	5	4
Skcos13558	2	0	0	3	2
Skcos13559	0	0	0	3	0
Skcos1356	21	26	9	20	8
Skcos13560	35	10	13	82	5
Skcos13561	193	5	14	128	13
Skcos13562	1	0	0	0	0
Skcos13563	24	5	2	19	1
Skcos13564	1	0	0	1	0
Skcos13565	14	3	3	17	7
Skcos13566	0	0	0	0	0
Skcos13567	10	4	6	2	5
Skcos13568	2	0	1	1	5
Skcos13569	41	60	50	47	46
Skcos1357	2	0	0	2	0
Skcos13570	18	7	2	7	16
Skcos13571	17	1	2	17	2
Skcos13572	27	1	1	10	4
Skcos13573	3	2	1	0	0
Skcos13574	287	118	90	254	127
Skcos13575	31	5	7	36	8
Skcos13576	4	0	3	9	0
Skcos13577	11	3	0	5	2
Skcos13578	3	1	0	4	0
Skcos13579	40	12	9	31	12
Skcos1358	5	0	0	7	3
Skcos13580	0	0	0	0	3
Skcos13581	11	3	7	8	9
Skcos13582	7	4	2	1	3
Skcos13583	3	4	0	0	0
Skcos13584	2	0	0	4	0
Skcos13585	6	5	2	7	1
Skcos13586	1	0	0	0	1
Skcos13587	19	9	11	54	10
Skcos13588	3	1	1	2	4
Skcos13589	4	0	0	5	3
Skcos1359	211	107	139	457	202
Skcos13590	6	1	2	17	4
Skcos13591	5	0	1	0	0
Skcos13592	1	2	1	8	0
Skcos13593	19	5	11	24	5
Skcos13594	29	4	10	32	4
Skcos13595	0	0	0	1	0
Skcos13596	5	0	1	24	4
Skcos13597	2	0	2	1	0
Skcos13598	5	1	3	14	0
Skcos13599	38	11	9	36	8
Skcos136	1320	991	1160	2008	1300
Skcos1360	99	62	86	77	85
Skcos13600	4	2	3	3	3
Skcos13601	19	2	9	3	8
Skcos13602	19	1	7	28	8
Skcos13603	0	3	0	5	0
Skcos13604	6	0	1	3	2
Skcos13605	24	8	14	39	10
Skcos13606	2	0	0	3	0
Skcos13607	33	4	7	46	14
Skcos13608	4	0	0	17	4
Skcos13609	4	2	0	0	0
Skcos1361	10	2	7	6	1
Skcos13610	927	656	624	3339	819
Skcos13611	3	1	2	2	0
Skcos13612	23	5	14	60	3
Skcos13613	8	3	4	12	2
Skcos13614	18	9	17	44	9
Skcos13615	19	11	3	23	5
Skcos13616	3	0	1	3	3
Skcos13617	2	0	0	0	0
Skcos13618	0	0	0	0	0
Skcos13619	1	1	1	3	0
Skcos1362	37	9	15	55	12
Skcos13620	11	12	6	74	23
Skcos13621	3	2	1	8	0
Skcos13622	29	17	16	72	25
Skcos13623	3	1	0	2	2
Skcos13624	3	0	1	3	0
Skcos13625	17	6	7	25	11
Skcos13626	0	0	0	5	2
Skcos13627	4	2	0	1	0
Skcos13628	6	1	1	10	2
Skcos13629	9	0	0	4	2
Skcos1363	45	25	30	35	27
Skcos13630	35	13	15	27	16
Skcos13631	43	29	24	53	50
Skcos13632	17	3	6	89	9
Skcos13633	0	0	0	0	0
Skcos13634	4	0	5	12	1
Skcos13635	116	53	36	266	60
Skcos13636	5	0	1	3	0
Skcos13637	3	3	1	3	1
Skcos13638	13	2	0	0	3
Skcos13639	7	2	0	5	0
Skcos1364	253	148	122	369	195
Skcos13640	0	0	0	0	0
Skcos13641	0	0	0	0	0
Skcos13642	1	0	0	0	0
Skcos13643	0	0	0	0	0
Skcos13644	0	0	0	0	0
Skcos13645	5	1	2	6	0
Skcos13646	339	279	305	409	452
Skcos13647	6	1	6	8	4
Skcos13648	87	11	15	77	19
Skcos13649	11	0	1	5	1
Skcos1365	71	5	9	40	3
Skcos13650	148	138	224	138	229
Skcos13651	1	0	0	6	1
Skcos13652	3	0	2	12	0
Skcos13653	26	6	5	19	2
Skcos13654	7	1	2	5	3
Skcos13655	95	7	7	85	10
Skcos13656	271	63	80	210	139
Skcos13657	7	1	0	6	0
Skcos13658	0	0	0	0	0
Skcos13659	13	1	4	10	2
Skcos1366	13	11	13	23	22
Skcos13660	0	0	0	0	0
Skcos13661	36	3	3	45	5
Skcos13662	19	4	6	8	5
Skcos13663	108	54	55	85	102
Skcos13664	13	0	1	15	1
Skcos13665	14	5	1	11	4
Skcos13666	3	0	1	2	1
Skcos13667	0	0	0	0	2
Skcos13668	5	0	1	5	0
Skcos13669	35	27	20	47	36
Skcos1367	107	48	89	212	88
Skcos13670	317	225	232	329	287
Skcos13671	0	1	0	0	0
Skcos13672	6	0	1	18	0
Skcos13673	0	0	0	0	0
Skcos13674	2	3	1	10	1
Skcos13675	156	68	65	235	52
Skcos13676	23	13	15	23	18
Skcos13677	1	0	0	3	0
Skcos13678	34	19	21	75	32
Skcos13679	3	0	1	0	1
Skcos1368	43	9	20	70	17
Skcos13680	26	24	15	32	6
Skcos13681	14	1	3	23	3
Skcos13682	173	32	47	271	42
Skcos13683	156	67	76	199	89
Skcos13684	1	0	0	5	0
Skcos13685	2	0	0	6	0
Skcos13686	4	3	1	5	1
Skcos13687	0	0	0	2	0
Skcos13688	8	0	2	8	5
Skcos13689	7	1	2	6	2
Skcos1369	21	1	11	26	7
Skcos13690	11	0	0	5	0
Skcos13691	9	1	3	8	0
Skcos13692	71	17	29	85	15
Skcos13693	0	0	0	0	2
Skcos13694	5	0	1	3	2
Skcos13695	0	0	1	9	1
Skcos13696	181	138	167	200	227
Skcos13697	6	0	2	4	0
Skcos13698	5	0	1	1	0
Skcos13699	31	4	9	42	13
Skcos137	13	4	9	9	9
Skcos1370	1	0	0	0	0
Skcos13700	17	6	6	15	12
Skcos13701	19	6	6	33	3
Skcos13702	9	1	1	8	0
Skcos13703	5	4	4	6	4
Skcos13704	133	71	112	110	133
Skcos13705	5	0	1	8	4
Skcos13706	13	2	3	11	7
Skcos13707	0	2	2	8	0
Skcos13708	0	0	1	0	0
Skcos13709	36	10	7	74	16
Skcos1371	2	0	0	0	0
Skcos13710	2	3	1	5	3
Skcos13711	0	0	0	0	0
Skcos13712	10	2	1	1	0
Skcos13713	60	10	13	107	18
Skcos13714	5	0	2	8	0
Skcos13715	3	1	0	2	2
Skcos13716	35	11	10	37	13
Skcos13717	38	4	4	59	9
Skcos13718	12	14	6	22	17
Skcos13719	35	1	2	22	3
Skcos1372	38	8	16	61	11
Skcos13720	86	78	82	139	105
Skcos13721	754	148	143	793	181
Skcos13722	31	28	15	86	22
Skcos13723	36	30	40	77	58
Skcos13724	0	0	0	0	0
Skcos13725	1198	580	639	2129	855
Skcos13726	9	0	4	5	0
Skcos13727	6	1	0	6	1
Skcos13728	89	29	38	256	37
Skcos13729	88	13	13	63	30
Skcos1373	13	14	14	14	13
Skcos13730	39	33	22	24	38
Skcos13731	1547	902	1025	1405	1462
Skcos13732	0	0	0	1	0
Skcos13733	51	3	3	44	2
Skcos13734	68	6	3	65	6
Skcos13735	30	8	15	37	9
Skcos13736	1	3	0	5	2
Skcos13737	0	0	0	0	0
Skcos13738	4	1	0	1	1
Skcos13739	380	248	212	365	312
Skcos1374	0	0	0	1	0
Skcos13740	11	0	0	1	0
Skcos13741	1	0	0	2	0
Skcos13742	63	14	7	110	15
Skcos13743	59	21	30	31	43
Skcos13744	3	5	0	12	0
Skcos13745	1	0	0	3	0
Skcos13746	247	43	72	151	74
Skcos13747	53	8	10	42	7
Skcos13748	9	5	5	21	17
Skcos13749	15	9	12	10	17
Skcos1375	86	27	25	112	24
Skcos13750	0	0	0	3	1
Skcos13751	1	1	0	0	0
Skcos13752	6	1	3	0	1
Skcos13753	567	229	314	605	394
Skcos13754	4	0	0	3	0
Skcos13755	3	0	1	7	1
Skcos13756	3	0	0	4	1
Skcos13757	8	1	5	3	4
Skcos13758	1	1	0	4	0
Skcos13759	1	0	0	0	0
Skcos1376	0	1	0	0	0
Skcos13760	7	0	1	7	0
Skcos13761	1	0	1	0	1
Skcos13762	5	1	2	26	3
Skcos13763	5	2	0	0	0
Skcos13764	16	10	11	21	8
Skcos13765	115	71	67	162	54
Skcos13766	510	402	414	747	509
Skcos13767	27	10	6	10	17
Skcos13768	115	15	16	157	18
Skcos13769	15	10	8	18	11
Skcos1377	9	1	0	3	1
Skcos13770	30	7	18	41	12
Skcos13771	76	4	12	109	0
Skcos13772	1	2	1	7	5
Skcos13773	4	0	2	15	2
Skcos13774	514	310	389	582	582
Skcos13775	7	2	1	12	0
Skcos13776	40	6	7	30	10
Skcos13777	26	3	1	16	3
Skcos13778	3	0	2	14	1
Skcos13779	1	2	2	4	0
Skcos1378	1	0	0	0	0
Skcos13780	2	1	0	4	1
Skcos13781	7	2	2	7	13
Skcos13782	5	0	0	4	1
Skcos13783	2	0	1	0	0
Skcos13784	19	7	9	40	4
Skcos13785	186	95	76	400	89
Skcos13786	3	2	1	8	2
Skcos13787	13	1	1	9	1
Skcos13788	274	77	93	354	99
Skcos13789	30	31	38	60	46
Skcos1379	605	342	488	817	630
Skcos13790	5	4	7	9	0
Skcos13791	2	1	1	1	1
Skcos13792	1	0	0	0	0
Skcos13793	4	0	0	0	0
Skcos13794	521	355	418	506	531
Skcos13795	0	0	0	0	0
Skcos13796	2	0	1	3	0
Skcos13797	5	0	1	4	0
Skcos13798	0	0	1	0	0
Skcos13799	1	0	0	1	1
Skcos138	35	17	10	50	9
Skcos1380	0	0	0	0	0
Skcos13800	4	1	1	4	3
Skcos13801	4	0	7	11	0
Skcos13802	3	0	2	4	1
Skcos13803	78	106	91	82	110
Skcos13804	9	3	5	4	3
Skcos13805	45	15	8	74	27
Skcos13806	2	3	3	7	3
Skcos13807	51	45	43	84	45
Skcos13808	1	0	0	1	0
Skcos13809	18	1	6	9	7
Skcos1381	2	2	0	2	2
Skcos13810	0	0	0	0	0
Skcos13811	0	0	0	0	0
Skcos13812	1	0	0	0	0
Skcos13813	18	0	2	9	1
Skcos13814	4	3	0	5	1
Skcos13815	93	54	79	161	68
Skcos13816	3	0	0	5	1
Skcos13817	0	0	0	0	0
Skcos13818	81	26	16	91	13
Skcos13819	3	0	1	3	3
Skcos1382	0	0	0	0	1
Skcos13820	36	22	24	12	50
Skcos13821	1	0	1	0	0
Skcos13822	14	1	4	16	2
Skcos13823	0	0	0	0	0
Skcos13824	0	0	0	0	0
Skcos13825	25	0	8	18	2
Skcos13826	35	11	14	36	17
Skcos13827	7	0	3	17	0
Skcos13828	0	0	0	0	0
Skcos13829	92	39	34	237	17
Skcos1383	512	138	156	693	270
Skcos13830	27	2	1	46	8
Skcos13831	0	0	0	1	0
Skcos13832	0	0	0	1	0
Skcos13833	0	0	0	2	0
Skcos13834	4	1	0	7	7
Skcos13835	0	0	0	0	0
Skcos13836	0	0	0	0	0
Skcos13837	0	0	0	0	0
Skcos13838	0	0	0	0	0
Skcos13839	5	0	0	1	1
Skcos1384	2	1	0	4	0
Skcos13840	0	0	0	0	0
Skcos13841	24	6	0	38	2
Skcos13842	133	47	102	119	137
Skcos13843	0	0	0	0	0
Skcos13844	3	0	0	0	0
Skcos13845	170	79	88	209	107
Skcos13846	0	0	0	0	0
Skcos13847	8	0	0	3	0
Skcos13848	59	28	19	80	27
Skcos13849	2	0	1	1	2
Skcos1385	147	24	55	107	96
Skcos13850	1	1	0	6	0
Skcos13851	0	0	0	0	0
Skcos13852	2	1	0	2	0
Skcos13853	0	0	0	0	0
Skcos13854	0	0	0	0	0
Skcos13855	3	1	3	2	3
Skcos13856	15	2	1	6	0
Skcos13857	0	0	0	1	1
Skcos13858	22	2	3	26	11
Skcos13859	36	16	11	78	3
Skcos1386	17	10	12	25	15
Skcos13860	0	0	1	0	0
Skcos13861	5	1	0	4	4
Skcos13862	15	11	6	43	11
Skcos13863	30	2	1	37	0
Skcos13864	0	2	0	1	0
Skcos13865	0	0	0	0	0
Skcos13866	1	1	1	3	0
Skcos13867	11	4	1	16	2
Skcos13868	205	199	233	488	293
Skcos13869	11	4	5	8	8
Skcos1387	16	4	5	28	2
Skcos13870	1	0	0	0	0
Skcos13871	5	1	1	6	0
Skcos13872	54	38	45	79	39
Skcos13873	7	0	3	1	1
Skcos13874	31	20	39	44	70
Skcos13875	191	5	3	61	2
Skcos13876	7	3	1	2	0
Skcos13877	9	1	0	10	2
Skcos13878	17	9	3	32	1
Skcos13879	28	4	4	19	2
Skcos1388	16	3	3	12	10
Skcos13880	153	94	110	160	142
Skcos13881	1	1	3	1	1
Skcos13882	6	0	3	3	0
Skcos13883	3	0	1	0	0
Skcos13884	0	0	0	0	0
Skcos13885	1	0	0	1	0
Skcos13886	32	45	27	35	26
Skcos13887	1	1	0	2	0
Skcos13888	0	0	0	0	0
Skcos13889	0	0	0	0	0
Skcos1389	23	2	8	23	5
Skcos13890	1	0	0	0	2
Skcos13891	1	0	0	0	0
Skcos13892	0	0	0	0	0
Skcos13893	0	0	0	0	0
Skcos13894	1	0	0	0	0
Skcos13895	1	0	0	0	1
Skcos13896	0	0	0	0	0
Skcos13897	0	0	0	0	0
Skcos13898	0	0	0	0	0
Skcos13899	0	0	0	2	0
Skcos139	4	1	1	10	3
Skcos1390	11	3	1	19	4
Skcos13900	4	1	0	1	0
Skcos13901	527	367	444	694	594
Skcos13902	0	0	0	3	0
Skcos13903	0	1	0	3	0
Skcos13904	3	0	3	11	4
Skcos13905	0	0	0	0	0
Skcos13906	1	0	0	0	0
Skcos13907	2	0	0	3	1
Skcos13908	2	0	0	3	1
Skcos13909	6	0	2	15	2
Skcos1391	17	9	9	46	8
Skcos13910	0	0	0	4	1
Skcos13911	1	2	1	2	2
Skcos13912	0	0	0	0	0
Skcos13913	91	27	25	223	31
Skcos13914	1	1	0	1	0
Skcos13915	0	0	0	0	0
Skcos13916	2	0	0	1	0
Skcos13917	0	0	1	1	0
Skcos13918	46	35	33	79	94
Skcos13919	1	0	0	1	0
Skcos1392	7	2	3	10	0
Skcos13920	20	4	9	19	15
Skcos13921	2	1	0	3	0
Skcos13922	0	0	0	0	0
Skcos13923	7	1	0	3	1
Skcos13924	4	1	0	3	0
Skcos13925	15	3	1	21	0
Skcos13926	1	0	1	2	0
Skcos13927	7	1	1	20	1
Skcos13928	23	0	0	4	1
Skcos13929	1	0	0	6	0
Skcos1393	182	58	58	180	50
Skcos13930	18	1	7	17	4
Skcos13931	1	1	4	6	0
Skcos13932	7	0	6	22	0
Skcos13933	47	10	9	41	17
Skcos13934	24	2	3	39	7
Skcos13935	0	0	0	2	0
Skcos13936	0	0	0	0	0
Skcos13937	80	23	32	11	39
Skcos13938	3	0	2	2	2
Skcos13939	29	11	15	63	18
Skcos1394	9	1	3	6	10
Skcos13940	3	1	1	1	0
Skcos13941	0	1	0	1	1
Skcos13942	24	6	4	25	2
Skcos13943	3	1	3	14	0
Skcos13944	5	0	0	2	0
Skcos13945	3	0	0	3	0
Skcos13946	6	1	1	15	0
Skcos13947	25	6	4	30	4
Skcos13948	1	0	0	1	0
Skcos13949	9	4	8	6	4
Skcos1395	314	204	307	301	333
Skcos13950	65	12	17	60	17
Skcos13951	99	24	51	155	49
Skcos13952	0	0	0	4	0
Skcos13953	1	1	0	4	0
Skcos13954	9	3	2	16	8
Skcos13955	188	45	51	135	51
Skcos13956	3	2	1	8	1
Skcos13957	3	0	0	5	2
Skcos13958	10	3	4	6	5
Skcos13959	1	1	1	4	0
Skcos1396	2	0	0	4	1
Skcos13960	1	0	0	0	0
Skcos13961	2	0	1	2	0
Skcos13962	0	0	0	0	0
Skcos13963	504	387	398	1763	449
Skcos13964	3	0	0	1	0
Skcos13965	5	0	5	14	4
Skcos13966	4	3	2	4	10
Skcos13967	0	0	0	1	2
Skcos13968	10	4	7	6	1
Skcos13969	79	14	28	77	27
Skcos1397	456	17	15	272	20
Skcos13970	28	13	24	49	26
Skcos13971	1	1	2	0	2
Skcos13972	10	0	0	7	0
Skcos13973	30	3	11	20	8
Skcos13974	20	7	4	15	19
Skcos13975	10	0	5	15	6
Skcos13976	23	7	1	17	2
Skcos13977	5	1	0	2	1
Skcos13978	5	4	2	8	5
Skcos13979	1	0	0	3	0
Skcos1398	43	1	2	35	8
Skcos13980	54	11	12	93	20
Skcos13981	4	1	1	6	0
Skcos13982	1	1	0	2	0
Skcos13983	47	29	57	40	41
Skcos13984	0	0	1	0	1
Skcos13985	41	10	13	45	14
Skcos13986	25	9	16	19	20
Skcos13987	3	1	0	12	4
Skcos13988	24	5	5	23	10
Skcos13989	3	1	0	2	1
Skcos1399	26	21	12	35	5
Skcos13990	6	0	1	8	1
Skcos13991	11	0	0	14	0
Skcos13992	13	0	1	13	4
Skcos13993	10	0	0	8	0
Skcos13994	9	1	0	15	0
Skcos13995	85	23	21	135	32
Skcos13996	48	12	22	74	8
Skcos13997	68	6	5	51	2
Skcos13998	1	0	0	1	2
Skcos13999	16	2	6	34	2
Skcos14	27	3	0	16	1
Skcos140	0	0	0	0	0
Skcos1400	42	5	4	26	9
Skcos14000	4	3	1	11	1
Skcos14001	4	1	0	9	1
Skcos14002	124	58	45	79	105
Skcos14003	13	3	3	12	0
Skcos14004	59	17	20	94	21
Skcos14005	3	0	0	3	0
Skcos14006	14	3	11	26	4
Skcos14007	16	3	3	9	19
Skcos14008	1	0	0	1	0
Skcos14009	4	1	0	6	2
Skcos1401	47	27	21	80	22
Skcos14010	5	2	0	10	0
Skcos14011	15	2	0	10	2
Skcos14012	8	1	0	1	1
Skcos14013	21	11	8	10	5
Skcos14014	17	6	6	19	5
Skcos14015	2	1	1	6	0
Skcos14016	9	1	1	0	1
Skcos14017	2	3	2	1	5
Skcos14018	9	0	1	12	3
Skcos14019	4	5	0	7	3
Skcos1402	23	2	2	16	1
Skcos14020	33	13	17	46	5
Skcos14021	23	5	14	7	6
Skcos14022	0	0	0	1	0
Skcos14023	2	0	0	0	0
Skcos14024	0	0	0	0	0
Skcos14025	3	0	1	7	0
Skcos14026	2	0	1	0	1
Skcos14027	57	34	28	90	24
Skcos14028	1	0	0	0	0
Skcos14029	7	2	0	6	0
Skcos1403	35	3	2	26	0
Skcos14030	47	20	25	94	21
Skcos14031	73	5	13	74	1
Skcos14032	17	1	3	23	7
Skcos14033	4	1	1	7	2
Skcos14034	75	32	32	83	50
Skcos14035	8	1	1	14	3
Skcos14036	5	1	0	1	1
Skcos14037	109	19	24	188	35
Skcos14038	3	0	0	2	4
Skcos14039	5	0	0	4	1
Skcos1404	4	2	0	17	0
Skcos14040	0	1	1	3	1
Skcos14041	6	0	3	14	1
Skcos14042	1	0	0	1	0
Skcos14043	3	2	1	2	0
Skcos14044	1	0	0	0	0
Skcos14045	2	0	0	0	0
Skcos14046	1	0	1	7	0
Skcos14047	4	2	1	19	0
Skcos14048	0	0	0	0	0
Skcos14049	10	0	3	22	7
Skcos1405	285	15	11	131	17
Skcos14050	43	3	3	45	4
Skcos14051	7	1	1	9	2
Skcos14052	0	0	0	0	0
Skcos14053	2	0	0	1	0
Skcos14054	17	7	4	30	5
Skcos14055	57	8	11	87	3
Skcos14056	1	0	0	4	1
Skcos14057	130	34	34	224	43
Skcos14058	44	16	13	46	8
Skcos14059	8	2	1	23	1
Skcos1406	117	15	22	341	41
Skcos14060	52	11	17	39	23
Skcos14061	0	0	0	0	0
Skcos14062	0	0	0	3	0
Skcos14063	22	11	16	49	23
Skcos14064	1	0	0	1	0
Skcos14065	263	137	193	234	228
Skcos14066	165	136	127	217	211
Skcos14067	1	0	0	1	0
Skcos14068	137	44	64	375	38
Skcos14069	1	0	0	2	0
Skcos1407	5	0	0	3	1
Skcos14070	0	0	0	0	0
Skcos14071	107	26	59	272	59
Skcos14072	0	0	0	0	0
Skcos14073	0	0	0	0	0
Skcos14074	45	19	25	83	13
Skcos14075	20	3	11	12	8
Skcos14076	10	0	6	7	4
Skcos14077	0	0	0	2	0
Skcos14078	94	6	13	66	16
Skcos14079	8	2	2	17	3
Skcos1408	8	2	2	17	1
Skcos14080	60	21	17	115	19
Skcos14081	143	79	82	165	94
Skcos14082	0	0	0	1	0
Skcos14083	2	4	2	6	0
Skcos14084	2	3	1	0	1
Skcos14085	8	1	3	14	1
Skcos14086	7	1	2	6	5
Skcos14087	35	3	6	22	10
Skcos14088	0	0	0	0	0
Skcos14089	4	0	1	1	0
Skcos1409	8	3	4	14	1
Skcos14090	1	1	0	5	1
Skcos14091	9	1	1	10	0
Skcos14092	4	2	0	4	0
Skcos14093	0	0	0	1	0
Skcos14094	134	10	21	101	15
Skcos14095	10	2	0	1	4
Skcos14096	0	0	0	0	1
Skcos14097	53	15	23	42	19
Skcos14098	3	5	1	7	1
Skcos14099	0	0	0	0	0
Skcos141	0	2	0	0	0
Skcos1410	12	1	8	25	8
Skcos14100	56	13	25	80	29
Skcos14101	3	0	1	3	1
Skcos14102	141	59	77	88	85
Skcos14103	13	4	10	3	6
Skcos14104	161	42	64	85	64
Skcos14105	7	2	1	4	1
Skcos14106	3	0	0	5	2
Skcos14107	25	1	5	10	2
Skcos14108	947	912	910	4662	1237
Skcos14109	35	8	9	69	25
Skcos1411	64	19	19	113	25
Skcos14110	154	47	50	312	71
Skcos14111	10	15	7	17	26
Skcos14112	40	5	8	6	5
Skcos14113	48	6	12	114	4
Skcos14114	14	1	0	20	1
Skcos14115	2	0	1	2	0
Skcos14116	24	4	2	25	3
Skcos14117	5	2	0	6	7
Skcos14118	49	19	17	90	21
Skcos14119	3	1	3	5	1
Skcos1412	32	1	3	31	4
Skcos14120	548	294	308	1328	434
Skcos14121	0	0	0	0	0
Skcos14122	52	48	48	106	62
Skcos14123	17	2	0	5	2
Skcos14124	1	1	0	0	0
Skcos14125	2	0	1	1	0
Skcos14126	0	0	0	0	0
Skcos14127	3	1	0	5	0
Skcos14128	5	0	0	2	0
Skcos14129	0	0	0	0	0
Skcos1413	72	18	13	51	13
Skcos14130	15	5	6	0	3
Skcos14131	22	7	14	17	8
Skcos14132	0	0	0	0	0
Skcos14133	0	0	1	1	0
Skcos14134	4	3	0	10	1
Skcos14135	10	0	2	2	3
Skcos14136	5	0	1	8	0
Skcos14137	0	6	5	1	0
Skcos14138	256	187	301	255	338
Skcos14139	4	2	0	5	1
Skcos1414	9	5	2	4	3
Skcos14140	3	0	1	1	0
Skcos14141	0	0	0	0	0
Skcos14142	0	0	0	0	0
Skcos14143	1	0	0	0	0
Skcos14144	101	78	81	373	64
Skcos14145	4	0	0	1	0
Skcos14146	0	1	0	3	0
Skcos14147	11	0	0	4	0
Skcos14148	12	1	3	19	2
Skcos14149	4	0	1	25	2
Skcos1415	0	0	0	3	0
Skcos14150	7	1	5	22	15
Skcos14151	2	0	1	0	1
Skcos14152	44	14	21	31	22
Skcos14153	14	2	11	45	5
Skcos14154	1	0	0	0	1
Skcos14155	179	32	22	120	31
Skcos14156	0	1	0	3	0
Skcos14157	0	0	0	1	0
Skcos14158	87	7	8	154	19
Skcos14159	280	40	140	445	134
Skcos1416	6794	3702	2583	8752	3041
Skcos14160	22	2	8	33	3
Skcos14161	0	0	0	3	0
Skcos14162	86	20	10	90	13
Skcos14163	5	4	0	2	1
Skcos14164	29	2	4	4	9
Skcos14165	4	3	0	0	0
Skcos14166	14	1	3	5	2
Skcos14167	13	0	0	5	0
Skcos14168	0	0	1	0	0
Skcos14169	13	4	3	18	6
Skcos1417	0	2	0	0	3
Skcos14170	4	0	1	3	0
Skcos14171	135	55	44	437	89
Skcos14172	18	4	6	9	4
Skcos14173	0	0	1	0	0
Skcos14174	6	2	1	6	0
Skcos14175	9	4	4	14	3
Skcos14176	230	162	203	218	282
Skcos14177	1	2	0	1	0
Skcos14178	22	1	4	54	4
Skcos14179	684	190	257	877	296
Skcos1418	12	17	13	39	21
Skcos14180	34	19	17	54	36
Skcos14181	22	7	5	19	6
Skcos14182	6	0	1	3	0
Skcos14183	52	36	23	46	21
Skcos14184	13	1	4	5	3
Skcos14185	2	0	0	1	4
Skcos14186	21	4	5	33	3
Skcos14187	5	1	2	2	0
Skcos14188	28	5	3	10	8
Skcos14189	5	0	4	6	15
Skcos1419	0	0	0	0	0
Skcos14190	14	0	3	19	7
Skcos14191	0	1	0	1	0
Skcos14192	4	2	0	13	3
Skcos14193	0	0	0	0	0
Skcos14194	2	0	2	1	0
Skcos14195	30	24	54	104	50
Skcos14196	186	143	145	221	215
Skcos14197	35	15	64	150	31
Skcos14198	42	31	54	92	37
Skcos14199	7	0	2	5	0
Skcos142	39	10	9	27	14
Skcos1420	0	0	0	0	0
Skcos14200	0	0	2	4	1
Skcos14201	0	0	0	0	0
Skcos14202	1	1	0	2	0
Skcos14203	5	2	0	7	5
Skcos14204	13	5	10	4	4
Skcos14205	1	0	0	3	0
Skcos14206	4	4	1	15	0
Skcos14207	15	2	0	15	0
Skcos14208	1	0	0	2	4
Skcos14209	36	19	16	32	38
Skcos1421	9	2	2	11	16
Skcos14210	379	180	170	526	280
Skcos14211	5	0	0	1	0
Skcos14212	2	1	1	3	0
Skcos14213	21	12	9	22	6
Skcos14214	1	0	0	1	0
Skcos14215	11	5	3	3	5
Skcos14216	5	2	2	14	5
Skcos14217	200	13	21	257	33
Skcos14218	5	1	1	5	0
Skcos14219	63	4	5	51	9
Skcos1422	9	1	4	5	1
Skcos14220	0	0	0	0	0
Skcos14221	106	78	116	120	177
Skcos14222	27	6	2	64	10
Skcos14223	3	1	2	11	3
Skcos14224	389	172	245	320	304
Skcos14225	10	3	1	12	1
Skcos14226	4	0	2	4	4
Skcos14227	3	0	0	0	1
Skcos14228	114	123	143	114	129
Skcos14229	56	44	54	32	60
Skcos1423	0	0	0	0	0
Skcos14230	7	5	16	26	7
Skcos14231	0	0	0	0	0
Skcos14232	0	0	0	0	0
Skcos14233	0	0	0	0	0
Skcos14234	32	1	3	65	15
Skcos14235	6	0	0	10	3
Skcos14236	0	0	0	0	0
Skcos14237	0	0	0	0	0
Skcos14238	1	2	0	1	1
Skcos14239	0	0	0	0	0
Skcos1424	21	1	6	13	9
Skcos14240	0	0	0	0	0
Skcos14241	13	4	4	16	5
Skcos14242	0	0	1	2	0
Skcos14243	53	15	12	57	18
Skcos14244	510	280	407	721	429
Skcos14245	592	223	273	1428	284
Skcos14246	530	257	332	512	380
Skcos14247	0	0	0	0	0
Skcos14248	147	57	62	149	74
Skcos14249	4	5	0	7	3
Skcos1425	22	6	1	38	9
Skcos14250	99	29	28	23	20
Skcos14251	8	9	12	6	15
Skcos14252	10	0	0	15	0
Skcos14253	1210	23	57	45	65
Skcos14254	291	225	319	480	507
Skcos14255	7	0	1	4	1
Skcos14256	16	5	1	10	7
Skcos14257	7	0	2	14	2
Skcos14258	0	0	0	0	0
Skcos14259	0	0	0	4	0
Skcos1426	52	9	14	60	6
Skcos14260	9	13	13	25	7
Skcos14261	0	0	0	0	0
Skcos14262	0	0	0	0	0
Skcos14263	1	1	0	1	1
Skcos14264	1	0	0	1	3
Skcos14265	0	0	0	0	0
Skcos14266	75	28	29	67	30
Skcos14267	39	19	9	18	11
Skcos14268	18	4	3	24	5
Skcos14269	46	43	35	62	42
Skcos1427	12	3	3	22	2
Skcos14270	21	15	11	31	8
Skcos14271	25	10	13	69	5
Skcos14272	10	3	4	7	12
Skcos14273	5	3	1	4	4
Skcos14274	0	0	0	0	0
Skcos14275	0	0	0	0	0
Skcos14276	0	0	0	0	0
Skcos14277	14	9	13	54	21
Skcos14278	5	0	1	1	0
Skcos14279	8	2	2	3	3
Skcos1428	42	0	1	2	0
Skcos14280	0	0	0	0	0
Skcos14281	0	0	0	0	0
Skcos14282	2	18	18	2	8
Skcos14283	0	0	0	0	0
Skcos14284	7	2	5	5	3
Skcos14285	4	0	1	2	1
Skcos14286	5	1	0	9	0
Skcos14287	2	1	0	6	1
Skcos14288	54	2	4	39	6
Skcos14289	4	4	2	15	2
Skcos1429	65	1	5	46	4
Skcos14290	0	0	1	2	2
Skcos14291	74	25	35	53	41
