gene	A	B	C	D	E
Skcos10166	30	10	17	59	15
Skcos10167	0	0	0	0	0
Skcos10168	0	0	0	0	0
Skcos10169	1	0	0	1	0
Skcos1017	949	402	481	971	672
Skcos10170	0	0	0	0	0
Skcos10171	12	1	1	13	1
Skcos10172	4	3	1	8	5
Skcos10173	15	1	7	17	2
Skcos10174	12	2	3	11	2
Skcos10175	1	0	0	0	1
Skcos10176	4	0	0	4	1
Skcos10177	1	1	0	1	1
Skcos10178	353	13	24	274	25
Skcos10179	6	8	8	33	10
Skcos1018	14	0	3	10	0
Skcos10180	11	4	1	21	1
Skcos10181	3	0	0	5	1
Skcos10182	8	2	0	8	2
Skcos10183	4	0	0	2	0
Skcos10184	0	0	1	1	0
Skcos10185	4	0	0	2	0
Skcos10186	8	2	1	9	4
Skcos10187	10	4	5	17	4
Skcos10188	5	1	3	15	0
Skcos10189	1	1	2	4	3
Skcos1019	74	23	12	92	28
Skcos10190	13	4	3	18	6
Skcos10191	8	6	2	9	0
Skcos10192	2	0	0	2	0
Skcos10193	12	2	9	35	12
Skcos10194	1	2	3	6	1
Skcos10195	31	23	16	30	21
Skcos10196	32	2	3	15	5
Skcos10197	89	3	5	72	4
Skcos10198	5	0	0	2	0
Skcos10199	9	3	5	4	3
Skcos102	32	2	6	40	13
Skcos1020	3	6	1	10	0
Skcos10200	14	0	1	12	1
Skcos10201	12	4	4	21	2
Skcos10202	32	4	8	32	6
Skcos10203	0	0	0	1	0
Skcos10204	1	0	0	0	0
Skcos10205	6	2	2	3	2
Skcos10206	16	3	9	20	6
Skcos10207	10	1	2	1	2
Skcos10208	7	1	1	7	5
Skcos10209	0	0	0	2	0
Skcos1021	131	4	1	53	3
Skcos10210	2	0	0	5	0
Skcos10211	1	1	1	2	3
Skcos10212	22	6	12	18	8
Skcos10213	46	5	9	69	14
Skcos10214	0	0	0	1	0
Skcos10215	0	0	0	0	0
Skcos10216	2973	1326	1744	3960	1928
Skcos10217	49	16	18	67	28
Skcos10218	30	11	9	43	25
Skcos10219	16	11	1	23	3
Skcos1022	0	0	2	0	0
Skcos10220	965	701	794	1018	1110
Skcos10221	0	0	0	0	0
Skcos10222	4	1	0	1	3
Skcos10223	596	363	440	638	603
Skcos10224	0	0	0	0	0
Skcos10225	40	3	16	55	11
Skcos10226	0	0	0	1	2
Skcos10227	2	0	0	0	0
Skcos10228	9	2	2	2	3
Skcos10229	11	5	3	10	8
Skcos1023	372	247	318	440	422
Skcos10230	25	9	8	7	6
Skcos10231	5	0	2	32	4
Skcos10232	3	0	1	3	3
Skcos10233	25	0	3	34	2
Skcos10234	0	0	0	6	0
Skcos10235	0	2	0	0	0
Skcos10236	1	1	0	1	0
Skcos10237	22	9	3	24	2
Skcos10238	2	0	1	4	1
Skcos10239	43	15	21	62	12
Skcos1024	67	47	63	81	63
Skcos10240	2	1	4	3	3
Skcos10241	13	2	1	17	3
Skcos10242	1	0	0	1	0
Skcos10243	11	3	3	24	10
Skcos10244	3	0	0	6	1
Skcos10245	110	44	57	106	74
Skcos10246	0	0	0	0	0
Skcos10247	0	0	0	0	0
Skcos10248	2	0	1	4	0
Skcos10249	0	0	0	1	0
Skcos1025	13	2	2	13	4
Skcos10250	2	0	0	0	1
Skcos10251	7	0	0	6	1
Skcos10252	0	0	0	0	0
Skcos10253	0	0	0	0	0
Skcos10254	0	0	0	0	0
Skcos10255	10	6	8	10	5
Skcos10256	299	192	316	304	368
Skcos10257	5	0	2	1	0
Skcos10258	2	4	4	6	0
Skcos10259	16	4	3	13	0
Skcos1026	25	5	7	82	5
Skcos10260	5	2	2	7	0
Skcos10261	295	67	75	253	112
Skcos10262	144	28	26	153	21
Skcos10263	10	1	2	7	0
Skcos10264	3	5	6	19	7
Skcos10265	6	0	0	8	5
Skcos10266	0	0	0	0	0
Skcos10267	1	0	0	1	0
Skcos10268	3	1	1	0	0
Skcos10269	5	0	0	4	1
Skcos1027	39	12	7	58	12
Skcos10270	0	0	0	0	0
Skcos10271	5	0	0	4	0
Skcos10272	9	1	0	5	5
Skcos10273	32	5	6	53	13
Skcos10274	94	23	21	139	48
Skcos10275	370	134	276	327	336
Skcos10276	0	0	3	3	1
Skcos10277	6	0	0	2	3
Skcos10278	0	2	0	1	0
Skcos10279	24	3	4	21	0
Skcos1028	149	17	18	128	17
Skcos10280	14	4	1	16	0
Skcos10281	1	0	0	0	3
Skcos10282	14	0	2	6	0
Skcos10283	1	3	1	8	0
Skcos10284	85	3	7	47	14
Skcos10285	13	5	10	10	21
Skcos10286	281	150	202	179	234
Skcos10287	58	1	5	2	8
Skcos10288	14	11	10	36	25
Skcos10289	47	17	14	83	17
Skcos1029	241	101	145	239	187
Skcos10290	17	4	7	14	3
Skcos10291	10	0	0	19	2
Skcos10292	56	7	7	73	10
Skcos10293	0	1	0	0	1
Skcos10294	19	5	3	35	2
Skcos10295	1	0	0	7	3
Skcos10296	9	1	0	6	0
Skcos10297	5	1	2	2	0
Skcos10298	20	11	12	51	12
Skcos10299	1	0	0	4	2
Skcos103	16	10	7	9	4
Skcos1030	5	0	0	5	0
Skcos10300	8	10	7	23	19
Skcos10301	43	18	21	18	35
Skcos10302	139	80	113	186	139
Skcos10303	103	57	64	259	49
Skcos10304	300	168	204	230	274
Skcos10305	9	3	1	3	2
Skcos10306	19	3	1	17	4
Skcos10307	1	0	0	1	2
Skcos10308	67	13	27	67	34
Skcos10309	21	9	18	119	18
Skcos1031	35	4	7	11	1
Skcos10310	7	2	0	9	1
Skcos10311	3	0	0	1	0
Skcos10312	3	0	0	1	0
Skcos10313	20	2	2	11	3
Skcos10314	237	110	119	372	123
Skcos10315	69	16	23	64	27
Skcos10316	3	1	4	16	1
Skcos10317	3	2	2	2	0
Skcos10318	30	11	17	77	16
Skcos10319	0	0	0	0	0
Skcos1032	10	9	15	8	20
Skcos10320	0	0	0	0	0
Skcos10321	0	0	0	0	0
Skcos10322	0	0	0	0	0
Skcos10323	0	1	0	0	0
Skcos10324	0	0	0	0	0
Skcos10325	0	0	0	0	0
Skcos10326	0	0	0	0	0
Skcos10327	0	0	0	0	0
Skcos10328	1	0	0	0	0
Skcos10329	0	0	0	0	0
Skcos1033	420	205	218	347	309
Skcos10330	4	1	0	1	0
Skcos10331	378	96	73	894	100
Skcos10332	1	3	2	9	1
Skcos10333	0	0	1	1	0
Skcos10334	46	2	1	50	4
Skcos10335	7	5	3	2	3
Skcos10336	7	3	3	16	3
Skcos10337	41	20	32	115	33
Skcos10338	3	1	0	10	0
Skcos10339	27	19	20	56	19
Skcos1034	130	67	73	180	108
Skcos10340	19	4	2	25	3
Skcos10341	10	3	3	24	4
Skcos10342	222	314	275	853	423
Skcos10343	175	83	91	163	133
Skcos10344	7	4	1	4	10
Skcos10345	74	49	57	121	58
Skcos10346	1	0	1	3	0
Skcos10347	13	0	0	7	0
Skcos10348	332	36	62	197	41
Skcos10349	24	0	2	41	6
Skcos1035	107	11	17	83	13
Skcos10350	7	1	0	5	2
Skcos10351	10	16	6	14	6
Skcos10352	2	0	0	2	0
Skcos10353	4	0	0	7	0
Skcos10354	15	0	1	32	5
Skcos10355	24	15	15	44	14
Skcos10356	26	6	8	40	11
Skcos10357	10	0	0	4	0
Skcos10358	53	8	12	43	12
Skcos10359	7	10	0	6	7
