delta	P(X1/X2>2)	P(X2/X1>2)
Skcos1	1.46727060670808	1	0
Skcos10	-2.08767423724897	0	1
Skcos100	-1.74183679000563	0	1
Skcos1000	-1.46431650395514	0	1
Skcos10000	0.69552055397017	0.539849496525825	0
Skcos10001	-1.85454600402268	0	1
Skcos10002	-3.83606302306446	0	1
Skcos10003	-2.48421994632478	0	1
Skcos10004	-1.87451680133589	0	1
Skcos10005	1.22761840198538	1	0
Skcos10006	-1.53107400671736	0	1
Skcos10007	-0.504335172404295	0	0.192295174023777
Skcos10008	-2.79834426603289	0	1
Skcos10009	-1.59732831596134	0	1
Skcos1001	-0.311970424646763	0	0
Skcos10010	-1.42202395052209	0	0.999999649248523
Skcos10011	-0.987718971039256	0	0.994243134163464
Skcos10012	-2.54688333461274	0	1
Skcos10013	-2.00520855211207	0	1
Skcos10014	-1.44351436030175	0	0.999997545972765
Skcos10015	-0.765273387115747	0	0.663718839553655
Skcos10016	-2.7696499702665	0	1
Skcos10017	-2.96305285933599	0	1
Skcos10018	-2.16567749183762	0	1
Skcos10019	-1.09649334177601	0	1
Skcos1002	-0.306423553719017	0	0
Skcos10020	-0.468032920585889	0	0.00495447009254583
Skcos10021	nan	nan	nan
Skcos10022	-0.233482823016967	0	0
Skcos10023	-2.01766795646191	0	1
Skcos10024	-3.64523449317385	0	1
Skcos10025	-2.88775667210959	0	1
Skcos10026	-2.69186507786252	0	1
Skcos10027	-0.262620749799046	0	0
Skcos10028	-0.844963788789297	9.23643327015073e-09	0.73233300783268
Skcos10029	-2.06474993263904	0	1
Skcos1003	-0.904727337207905	8.91016067185452e-10	0.794482642878387
Skcos10030	-1.09368044758123	0	0.962829201647069
Skcos10031	-0.742940381446321	0	0.574914870476544
Skcos10032	-0.570032935555128	2.52649039909134e-05	0.334587823875823
Skcos10033	-0.949459303325293	0	0.911649597561751
Skcos10034	-1.08818719416698	0	0.931910820770951
Skcos10035	-1.98277607938749	0	1
Skcos10036	0.331719980993124	0.122747119576548	0.000416787329127106
Skcos10037	-0.400665107327357	0.000479272017897522	0.181776403735249
Skcos10038	-2.85301737994106	0	1
Skcos10039	-1.03052073690923	0	1
Skcos1004	1.25266804501014	1	0
Skcos10040	-2.6089657724981	0	1
Skcos10041	0.910757348816539	1	0
Skcos10042	-0.431533549755602	5.08809613262964e-05	0.190326778974927
Skcos10043	-1.47900917997785	0	0.999863736151295
Skcos10044	-0.645936873524259	0	0.328725063696194
Skcos10045	-1.95683515711532	0	1
Skcos10046	-1.95267676121989	0	1
Skcos10047	-2.52792782355992	0	1
Skcos10048	0.449710372190607	0	0
Skcos10049	-1.8118507514606	0	1
Skcos1005	0.353375496627585	2.63218459554306e-05	0
Skcos10050	-3.33653709055997	0	1
Skcos10051	-1.38690771944107	0	0.999960458675433
Skcos10052	0.437141517600018	0.215499124823927	0.000161445005607495
Skcos10053	-1.06275009468766	1.05093760903089e-11	0.924222237769596
Skcos10054	-0.268139013031183	0.00222195628707763	0.107278832187667
Skcos10055	-1.83509746407118	0	1
Skcos10056	-1.01381449867884	4.6019537983708e-11	0.898487004132994
Skcos10057	-1.44550626419471	0	0.9993105427077
Skcos10058	-2.23820704208513	0	1
Skcos10059	-0.249245540128532	0.00207329195059464	0.0924708838508232
Skcos1006	-0.787869786391497	0	0.999517548925222
Skcos10060	-0.309403477072686	0	0.000664592986169745
Skcos10061	0.92441277913711	0.999999079814533	0
Skcos10062	-1.24020168258981	0	0.998408476716303
Skcos10063	-1.83565278071563	0	1
Skcos10064	-0.97889252581189	1.21265154224819e-10	0.852839338985044
Skcos10065	-0.639848609548448	7.26991896131312e-06	0.417419243177709
Skcos10066	-1.85346001145969	0	1
Skcos10067	-2.56096791183071	0	1
Skcos10068	0.795903546641419	0.715170849459575	0
Skcos10069	-1.26994169396781	0	0.999998467039486
Skcos1007	-1.42378233994787	0	1
Skcos10070	-0.635617704936981	0	0.29303602128675
Skcos10071	-1.38613713920269	0	1
Skcos10072	-2.59302453662073	0	1
Skcos10073	-0.0871329982594042	0	0
Skcos10074	-1.03980469410648	0	1
Skcos10075	-0.563804472032331	0	0.266945166529744
Skcos10076	-1.45305467276896	0	0.999888115709099
Skcos10077	-2.84511291981472	0	1
Skcos10078	-1.91256634402062	0	1
Skcos10079	-1.5284301546271	0	1
Skcos1008	-1.47611331267382	0	1
Skcos10080	-2.27007803299525	0	1
Skcos10081	nan	nan	nan
Skcos10082	-2.06887273278518	0	1
Skcos10083	-1.64624781814912	0	0.999999681892787
Skcos10084	-1.87702300974071	0	1
Skcos10085	-2.16849466601476	0	1
Skcos10086	-1.56006252575637	0	1
Skcos10087	-1.24547573453386	0	1
Skcos10088	-2.22740299902751	0	1
Skcos10089	-0.40137526825239	0	0
Skcos1009	-1.94404119680707	0	1
Skcos10090	-1.20761136203599	0	0.999682982892086
Skcos10091	-2.05257821843099	0	1
Skcos10092	-1.58906165962154	0	1
Skcos10093	-1.67228183919127	0	1
Skcos10094	-0.349202905217901	0.000489601326197806	0.132013461721309
Skcos10095	-2.28239456500417	0	1
Skcos10096	-2.78284552972965	0	1
Skcos10097	-0.521893626920613	6.4709066300591e-06	0.264189168809649
Skcos10098	-0.741863849889619	0	0.578447268840774
Skcos10099	-1.59064832926496	0	1
Skcos101	-3.06999939945774	0	1
Skcos1010	-1.21769771196401	0	0.980501594722792
Skcos10100	-2.27143553442649	0	1
Skcos10101	-0.0688214340852817	0	0
Skcos10102	-2.33822123396539	0	1
Skcos10103	-0.705767276304986	0	0.580548938058791
Skcos10104	-2.23169247133887	0	1
Skcos10105	-1.24092418514649	0	1
Skcos10106	-1.21736125417564	0	1
Skcos10107	-1.82045386099866	0	1
Skcos10108	-0.642725837464424	0	0.212020020261473
Skcos10109	-2.59896559560608	0	1
Skcos1011	0.0344116348514715	0	0
Skcos10110	-1.35796270758808	0	1
Skcos10111	-2.48822895306006	0	1
Skcos10112	1.97942340615755	1	0
Skcos10113	0.0174355735862215	0	0
Skcos10114	0.961568283817104	0.984127629810343	0
Skcos10115	-1.52428863431677	0	0.999796643804685
Skcos10116	-2.65297903115301	0	1
Skcos10117	-2.33376362235316	0	1
Skcos10118	-0.602490493149361	1.11464292547112e-05	0.389512404555387
Skcos10119	-0.359494331354018	0.000807081143809694	0.162970749065811
Skcos1012	0.461537315474633	0.000699063263344155	0
Skcos10120	-1.41638822831881	0	0.999999944609078
Skcos10121	-2.77440786078492	0	1
Skcos10122	-2.47624550979747	0	1
Skcos10123	-0.175988417902678	0	0
Skcos10124	-2.51780848882243	0	1
Skcos10125	-1.61897361307801	0	1
Skcos10126	-2.08726851757934	0	1
Skcos10127	2.5411804623305	1	0
Skcos10128	-1.82119396972243	0	1
Skcos10129	0.192836581804561	0	0
Skcos1013	1.71580049681019	1	0
Skcos10130	-1.62966869316729	0	1
Skcos10131	-2.62347438442549	0	1
Skcos10132	-3.1456894304213	0	1
Skcos10133	-1.93154054067269	0	1
Skcos10134	-1.61608424929137	0	1
Skcos10135	0.50756476124593	0.000132208204186023	0
Skcos10136	-1.82507536531409	0	1
Skcos10137	0.055903713852612	0	0
Skcos10138	-2.21248655711679	0	1
Skcos10139	-0.0288031458618148	0	0
Skcos1014	1.57903892555042	1	0
Skcos10140	-1.04247694800653	0	0.952844613092629
Skcos10141	-0.216275967801347	0.00176714523089308	0.0794677469643525
Skcos10142	-0.696827365485057	1.20010438238278e-06	0.491080913066459
Skcos10143	-0.315543374784492	0.00130512108024604	0.130117604338964
Skcos10144	-0.418823448911643	4.7485340089944e-08	0.112116624017265
Skcos10145	-0.0349420496746942	0	0
Skcos10146	-1.65025529735861	0	0.999999918978542
Skcos10147	-0.33216853075591	0.000267285512376177	0.113758685768535
Skcos10148	-3.18924651651043	0	1
Skcos10149	-2.42928786894991	0	1
Skcos1015	-0.411208577973228	0	0.0579053662436601
Skcos10150	-0.449117126825989	0	0.0212312252487589
Skcos10151	-2.49005392335442	0	1
Skcos10152	-1.631780281495	0	1
Skcos10153	-1.26364688349975	0	1
Skcos10154	-0.120935740298019	0	1.83055349675581e-06
Skcos10155	-1.20113890230447	0	1
Skcos10156	-0.813806889631634	0	0.988802048961089
Skcos10157	-1.13830160948221	0	1
Skcos10158	-1.90141010888079	0	1
Skcos10159	-0.706967138022719	0	0.562050001773077
Skcos1016	-0.299719076161612	0	0
Skcos10160	2.07757352889513	1	0
Skcos10161	nan	nan	nan
Skcos10162	-0.952889075975221	0	0.982577943115138
Skcos10163	-2.12311248429076	0	1
Skcos10164	-2.72707740175137	0	1
Skcos10165	-1.416949734927	0	0.999907295881907
Skcos10166	-2.71957344186447	0	1
Skcos10167	nan	nan	nan
Skcos10168	-0.461742037596653	8.03087317483624e-05	0.229843394543417
Skcos10169	0.707381095717825	0.524483628426758	2.2945185207388e-06
Skcos1017	1.87151249614978	1	0
Skcos10170	-2.18907278713427	0	1
Skcos10171	-3.03461782310684	0	1
Skcos10172	-1.59758300533568	0	1
Skcos10173	-2.79998485269465	0	1
Skcos10174	-0.939193209044443	0	1
Skcos10175	0.983459621560912	0.967626239125443	0
Skcos10176	-1.96514073554402	0	1
Skcos10177	0.131303639821341	0.000106662605468192	0
Skcos10178	-2.38401135654465	0	1
Skcos10179	-1.2447575139501	0	0.999927047112886
Skcos1018	-1.65233351274802	0	1
Skcos10180	0.147838620913524	0	0
Skcos10181	-1.71884831247797	0	0.999999893329973
Skcos10182	-1.9027159744798	0	1
Skcos10183	-1.89537653566491	0	1
Skcos10184	-1.93531202296677	0	1
Skcos10185	-1.25583602993154	0	0.999462296200921
Skcos10186	-1.1364420326298	0	0.999398848437537
Skcos10187	-2.58071151371023	0	1
Skcos10188	-1.20444284299483	0	1
Skcos10189	2.82482080665156	1	0
Skcos1019	-1.52353569913248	0	1
Skcos10190	-0.144677790926978	0	0
Skcos10191	-1.51042872849848	0	1
Skcos10192	-0.916525459154294	0	0.806251673238619
Skcos10193	-1.7026626278592	0	1
Skcos10194	-1.41663786764624	0	1
Skcos10195	-0.911768652117111	0	0.999633280108077
Skcos10196	-1.23837190914534	0	0.99430412752837
Skcos10197	-2.49362912982137	0	1
Skcos10198	-1.83332221274796	0	1
Skcos10199	-1.51697830678693	0	1
Skcos102	-2.80353288910605	0	1
Skcos1020	0.904385056145471	0.953797589213974	0
Skcos10200	-2.21554745552221	0	1
Skcos10201	-2.17628858349895	0	1
Skcos10202	-3.06777652401781	0	1
Skcos10203	-0.816936920093063	0	0.822168394787265
Skcos10204	0.416193125530475	0.0750210121663488	0
Skcos10205	1.07307674743435	0.999970477026363	0
Skcos10206	-1.81998697151078	0	1
Skcos10207	-1.92035587842883	0	1
