delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Skcos1	1.46727060670808	1	0
Skcos10	-2.08767423724897	0	1
Skcos100	-1.74183679000563	0	1
Skcos1000	-1.46431650395514	0	1
Skcos10000	0.69552055397017	1	0
Skcos10001	-1.85454600402268	0	1
Skcos10002	-3.83606302306446	0	1
Skcos10003	-2.48421994632478	0	1
Skcos10004	-1.87451680133589	0	1
Skcos10005	1.22761840198538	1	0
Skcos10006	-1.53107400671736	0	1
Skcos10007	-0.504335172404295	0.000285444347992182	0.901144406157991
Skcos10008	-2.79834426603289	0	1
Skcos10009	-1.59732831596134	0	1
Skcos1001	-0.311970424646763	0	0.94111448805875
Skcos10010	-1.42202395052209	0	1
Skcos10011	-0.987718971039256	0	1
Skcos10012	-2.54688333461274	0	1
Skcos10013	-2.00520855211207	0	1
Skcos10014	-1.44351436030175	0	1
Skcos10015	-0.765273387115747	0	0.999458479170384
Skcos10016	-2.7696499702665	0	1
Skcos10017	-2.96305285933599	0	1
Skcos10018	-2.16567749183762	0	1
Skcos10019	-1.09649334177601	0	1
Skcos1002	-0.306423553719017	0	1
Skcos10020	-0.468032920585889	0	0.997802390811676
Skcos10021	nan	nan	nan
Skcos10022	-0.233482823016967	0	0.580033764497432
Skcos10023	-2.01766795646191	0	1
Skcos10024	-3.64523449317385	0	1
Skcos10025	-2.88775667210959	0	1
Skcos10026	-2.69186507786252	0	1
Skcos10027	-0.262620749799046	0	0.803971190284296
Skcos10028	-0.844963788789297	5.76563139662019e-05	0.987299118240385
Skcos10029	-2.06474993263904	0	1
Skcos1003	-0.904727337207905	1.18606677608328e-05	0.995361714424143
Skcos10030	-1.09368044758123	0	0.999971201534734
Skcos10031	-0.742940381446321	7.56120398037755e-06	0.988769166222305
Skcos10032	-0.570032935555128	0.00567780503487458	0.863115248460475
Skcos10033	-0.949459303325293	0	0.99996737705184
Skcos10034	-1.08818719416698	4.60680953649844e-08	0.999626216699183
Skcos10035	-1.98277607938749	0	1
Skcos10036	0.331719980993124	0.633304120602868	0.0324945138379251
Skcos10037	-0.400665107327357	0.0290568845780413	0.707209385893283
Skcos10038	-2.85301737994106	0	1
Skcos10039	-1.03052073690923	0	1
Skcos1004	1.25266804501014	1	0
Skcos10040	-2.6089657724981	0	1
Skcos10041	0.910757348816539	1	0
Skcos10042	-0.431533549755602	0.0106509860167426	0.763289661361041
Skcos10043	-1.47900917997785	0	1
Skcos10044	-0.645936873524259	0	0.999929905347037
Skcos10045	-1.95683515711532	0	1
Skcos10046	-1.95267676121989	0	1
Skcos10047	-2.52792782355992	0	1
Skcos10048	0.449710372190607	1	0
Skcos10049	-1.8118507514606	0	1
Skcos1005	0.353375496627585	0.940756570132521	0
Skcos10050	-3.33653709055997	0	1
Skcos10051	-1.38690771944107	0	1
Skcos10052	0.437141517600018	0.742494918658362	0.0181862150655191
Skcos10053	-1.06275009468766	6.11088536444233e-07	0.999371183990632
Skcos10054	-0.268139013031183	0.0726514178338591	0.549302159800981
Skcos10055	-1.83509746407118	0	1
Skcos10056	-1.01381449867884	7.91177933836155e-07	0.998352479721909
Skcos10057	-1.44550626419471	0	0.999999989361592
Skcos10058	-2.23820704208513	0	1
Skcos10059	-0.249245540128532	0.0775664992312346	0.533140671433212
Skcos1006	-0.787869786391497	0	1
Skcos10060	-0.309403477072686	2.06124387416006e-06	0.7612242801237
Skcos10061	0.92441277913711	1	0
Skcos10062	-1.24020168258981	0	1
Skcos10063	-1.83565278071563	0	1
Skcos10064	-0.97889252581189	2.49274637280389e-06	0.997462582743559
Skcos10065	-0.639848609548448	0.00246762483213703	0.918272081726673
Skcos10066	-1.85346001145969	0	1
Skcos10067	-2.56096791183071	0	1
Skcos10068	0.795903546641419	0.999570203847643	0
Skcos10069	-1.26994169396781	0	1
Skcos1007	-1.42378233994787	0	1
Skcos10070	-0.635617704936981	0	0.999969819857184
Skcos10071	-1.38613713920269	0	1
Skcos10072	-2.59302453662073	0	1
Skcos10073	-0.0871329982594042	0.0823945505794205	0.297837832879606
Skcos10074	-1.03980469410648	0	1
Skcos10075	-0.563804472032331	6.69417512196877e-05	0.950279385652096
Skcos10076	-1.45305467276896	0	1
Skcos10077	-2.84511291981472	0	1
Skcos10078	-1.91256634402062	0	1
Skcos10079	-1.5284301546271	0	1
Skcos1008	-1.47611331267382	0	1
Skcos10080	-2.27007803299525	0	1
Skcos10081	nan	nan	nan
Skcos10082	-2.06887273278518	0	1
Skcos10083	-1.64624781814912	0	1
Skcos10084	-1.87702300974071	0	1
Skcos10085	-2.16849466601476	0	1
Skcos10086	-1.56006252575637	0	1
Skcos10087	-1.24547573453386	0	1
Skcos10088	-2.22740299902751	0	1
Skcos10089	-0.40137526825239	0	0.999803892075014
Skcos1009	-1.94404119680707	0	1
Skcos10090	-1.20761136203599	0	1
Skcos10091	-2.05257821843099	0	1
Skcos10092	-1.58906165962154	0	1
Skcos10093	-1.67228183919127	0	1
Skcos10094	-0.349202905217901	0.0325239144205304	0.652650428670942
Skcos10095	-2.28239456500417	0	1
Skcos10096	-2.78284552972965	0	1
Skcos10097	-0.521893626920613	0.00377490681377243	0.857462784963359
Skcos10098	-0.741863849889619	3.89803809851336e-05	0.98343922645389
Skcos10099	-1.59064832926496	0	1
Skcos101	-3.06999939945774	0	1
Skcos1010	-1.21769771196401	0	0.999972979853512
Skcos10100	-2.27143553442649	0	1
Skcos10101	-0.0688214340852817	0	0
Skcos10102	-2.33822123396539	0	1
Skcos10103	-0.705767276304986	0	1
Skcos10104	-2.23169247133887	0	1
Skcos10105	-1.24092418514649	0	1
Skcos10106	-1.21736125417564	0	1
Skcos10107	-1.82045386099866	0	1
Skcos10108	-0.642725837464424	0	1
Skcos10109	-2.59896559560608	0	1
Skcos1011	0.0344116348514715	1.81468337680937e-05	0
Skcos10110	-1.35796270758808	0	1
Skcos10111	-2.48822895306006	0	1
Skcos10112	1.97942340615755	1	0
Skcos10113	0.0174355735862215	0.000371031358730807	3.82509690511522e-05
Skcos10114	0.961568283817104	1	0
Skcos10115	-1.52428863431677	0	1
Skcos10116	-2.65297903115301	0	1
Skcos10117	-2.33376362235316	0	1
Skcos10118	-0.602490493149361	0.00343468397913889	0.895473218322444
Skcos10119	-0.359494331354018	0.0424919666154703	0.65234672874712
Skcos1012	0.461537315474633	0.999569779687013	0
Skcos10120	-1.41638822831881	0	1
Skcos10121	-2.77440786078492	0	1
Skcos10122	-2.47624550979747	0	1
Skcos10123	-0.175988417902678	0	0.183371918235282
Skcos10124	-2.51780848882243	0	1
Skcos10125	-1.61897361307801	0	1
Skcos10126	-2.08726851757934	0	1
Skcos10127	2.5411804623305	1	0
Skcos10128	-1.82119396972243	0	1
Skcos10129	0.192836581804561	0.290220010777093	0
Skcos1013	1.71580049681019	1	0
Skcos10130	-1.62966869316729	0	1
Skcos10131	-2.62347438442549	0	1
Skcos10132	-3.1456894304213	0	1
Skcos10133	-1.93154054067269	0	1
Skcos10134	-1.61608424929137	0	1
Skcos10135	0.50756476124593	1	0
Skcos10136	-1.82507536531409	0	1
Skcos10137	0.055903713852612	0.0313142622131194	0.00113517726052749
Skcos10138	-2.21248655711679	0	1
Skcos10139	-0.0288031458618148	0	0
Skcos1014	1.57903892555042	1	0
Skcos10140	-1.04247694800653	0	0.99997003369844
Skcos10141	-0.216275967801347	0.100068188292393	0.498106938008807
Skcos10142	-0.696827365485057	0.000887272590695549	0.938394129118321
Skcos10143	-0.315543374784492	0.0532357828315377	0.603733948098074
Skcos10144	-0.418823448911643	0.00176360787677611	0.810509818663153
Skcos10145	-0.0349420496746942	0	0
Skcos10146	-1.65025529735861	0	1
Skcos10147	-0.33216853075591	0.0292574350607153	0.645636335611961
Skcos10148	-3.18924651651043	0	1
Skcos10149	-2.42928786894991	0	1
Skcos1015	-0.411208577973228	0.000168260957984956	0.847053753175922
Skcos10150	-0.449117126825989	0	0.973408511592803
Skcos10151	-2.49005392335442	0	1
Skcos10152	-1.631780281495	0	1
Skcos10153	-1.26364688349975	0	1
Skcos10154	-0.120935740298019	0.00231763306403431	0.198062327231538
Skcos10155	-1.20113890230447	0	1
Skcos10156	-0.813806889631634	0	1
Skcos10157	-1.13830160948221	0	1
Skcos10158	-1.90141010888079	0	1
Skcos10159	-0.706967138022719	0	1
Skcos1016	-0.299719076161612	0	0.921037457575371
Skcos10160	2.07757352889513	1	0
Skcos10161	nan	nan	nan
Skcos10162	-0.952889075975221	0	1
Skcos10163	-2.12311248429076	0	1
Skcos10164	-2.72707740175137	0	1
Skcos10165	-1.416949734927	0	1
Skcos10166	-2.71957344186447	0	1
Skcos10167	nan	nan	nan
Skcos10168	-0.461742037596653	0.01304669527775	0.792583016536947
Skcos10169	0.707381095717825	0.936844202266963	0.00134087266084446
Skcos1017	1.87151249614978	1	0
Skcos10170	-2.18907278713427	0	1
Skcos10171	-3.03461782310684	0	1
Skcos10172	-1.59758300533568	0	1
Skcos10173	-2.79998485269465	0	1
Skcos10174	-0.939193209044443	0	1
Skcos10175	0.983459621560912	0.9999996978851	0
Skcos10176	-1.96514073554402	0	1
Skcos10177	0.131303639821341	0.273153117051521	0.00934912601166938
Skcos10178	-2.38401135654465	0	1
Skcos10179	-1.2447575139501	0	1
Skcos1018	-1.65233351274802	0	1
Skcos10180	0.147838620913524	0.0351970385860165	0
Skcos10181	-1.71884831247797	0	1
Skcos10182	-1.9027159744798	0	1
Skcos10183	-1.89537653566491	0	1
Skcos10184	-1.93531202296677	0	1
Skcos10185	-1.25583602993154	0	1
Skcos10186	-1.1364420326298	0	1
Skcos10187	-2.58071151371023	0	1
Skcos10188	-1.20444284299483	0	1
Skcos10189	2.82482080665156	1	0
Skcos1019	-1.52353569913248	0	1
Skcos10190	-0.144677790926978	0	0.114554858783457
Skcos10191	-1.51042872849848	0	1
Skcos10192	-0.916525459154294	1.86009226236555e-06	0.997209839549549
Skcos10193	-1.7026626278592	0	1
Skcos10194	-1.41663786764624	0	1
Skcos10195	-0.911768652117111	0	1
Skcos10196	-1.23837190914534	0	0.99999932216392
Skcos10197	-2.49362912982137	0	1
Skcos10198	-1.83332221274796	0	1
Skcos10199	-1.51697830678693	0	1
Skcos102	-2.80353288910605	0	1
Skcos1020	0.904385056145471	1	0
Skcos10200	-2.21554745552221	0	1
Skcos10201	-2.17628858349895	0	1
Skcos10202	-3.06777652401781	0	1
Skcos10203	-0.816936920093063	0	0.999997202047879
Skcos10204	0.416193125530475	0.844297895354183	0.000365831162040819
Skcos10205	1.07307674743435	1	0
Skcos10206	-1.81998697151078	0	1
Skcos10207	-1.92035587842883	0	1
Skcos10208	-0.548806465836811	0	0.994729457736094
