K07199	359	875	16	22	8	15	4	1	15	2
K07195	50	1847	5	27	2	18	1	2	36	15
K10862	7	197	1	2	0	1	0	1	0	0
K07359	95	2244	28	21	32	27	14	10	67	10
K17576	15	483	7	3	1	12	0	2	5	1
K04460	1170	704	174	18	16	50	20	33	38	27
K01515	71	567	3	6	0	65	2	2	29	2
K06916	11	497	3	0	0	2	0	0	2	0
K06911	333	3165	70	42	41	181	15	9	117	17
K00773	890	437	107	1	2	27	7	6	15	13
K08741	27	158	6	3	0	0	0	0	4	0
K11434	2638	613	934	8	46	227	118	167	188	210
K09834	3	77	4	0	1	0	2	0	1	0
K11430	46	187	6	2	0	2	1	1	5	2
K09833	148	202	6	6	0	9	3	6	5	1
K07511	5	2638	6	29	3	26	1	1	26	1
K07513	332	285	6	5	2	7	3	1	3	0
K09839	2451	1966	412	237	40	104	50	88	78	94
K09838	4566	2668	146	162	38	60	13	16	59	21
K10747	22	603	1	17	2	2	0	2	5	1
K10743	1	64	0	0	0	0	0	0	1	0
K10742	5	103	1	2	1	1	0	1	3	0
K01914	22742	164	123	4	1	49	2	8	23	16
K01915	49464	19058	17851	291	1833	6229	3736	4468	8683	5911
K01918	16	214	0	3	0	0	0	0	0	0
K11341	27	323	2	4	0	2	0	1	2	0
K10696	1296	2211	478	51	50	122	60	72	120	107
K10695	457	1286	24	26	8	15	2	2	8	5
K10691	326	7203	298	41	49	164	44	41	258	59
K07178	2352	1553	1504	27	134	369	259	276	476	352
K07179	2469	1209	1480	17	102	363	245	344	409	412
K01358	6655	16765	1603	668	362	773	340	284	909	337
K17960	5552	4078	2000	330	163	719	178	136	1673	191
K01354	716	3406	77	71	46	104	44	29	121	54
K02920	8410	1705	1387	92	150	324	188	236	319	347
K17803	46	274	17	8	10	16	3	1	24	0
K08576	94	1299	45	20	13	28	4	9	50	9
K14548	26285	3569	9927	51	551	1519	920	1155	1940	1611
K17805	1804	1278	277	20	6	88	26	47	66	53
K17804	1133	314	160	6	10	88	35	42	81	47
K15555	51	821	12	9	7	21	5	2	25	4
K01828	25	62	2	1	0	0	1	0	0	0
K01823	357	740	115	4	8	23	10	15	19	11
K04078	12127	1846	553	139	105	187	47	35	166	44
K04079	22524	10900	5201	448	846	6109	2535	3143	5484	3744
K04077	33496	5738	2477	295	273	449	124	166	412	207
K15083	92	2026	38	35	12	32	6	7	33	5
K04075	1291	377	508	12	22	123	43	73	89	125
K15085	169	132	15	2	2	10	2	4	12	7
