KEGG_ID	S1	S2	S3	S4	S5	A	B	C	D	E
RNA processing	138606	25732	22698	1052	2299	5133	2865	3507	5828	4705		1512	465	2549	523	1384	938	691	654	1295	853
Lipid metabolism	4137	14788	653	167	130	447	72	109	458	142		29	22	0	8	3	14	9	6	22	3
Mineral and organic ion transport system	22113	14805	3376	253	332	596	271	301	644	503		186	65	47	11	14	20	1	6	22	16
Protein processing	4874	18023	988	299	223	950	260	334	923	299		276	549	390	147	286	149	137	225	163	166
Alkaloid and other secondary metabolite biosynthesis	1857	1657	50	22	13	25	1	3	23	2		3	6	1	1	1	9	1	1	6	0
Lysine metabolism	57161	3737	5947	472	669	2201	759	990	1837	1371		80297	48806	49785	31158	29257	101543	22208	22941	55778	22922
Cysteine and methionine metabolism	28586	9728	3419	444	441	996	311	428	849	514		20110	12223	12459	7789	7320	25393	5554	5738	13956	5731
Ubiquitin system	31329	38247	3339	1406	385	1068	320	413	998	339		1469	2468	1685	734	1460	1081	855	1099	688	1013
RNA polymerase	8035	2880	1250	40	135	210	110	100	265	270		65	5	20	0	5	10	0	0	10	0
Pathogenicity	14637	30300	5174	542	879	1095	557	576	2453	629		18	59	17	10	6	2	6	4	4	1
	20712854	26450968	5435276	2897748	3475238	2515402	1654994	1772005	2592110	1818155		13914439	6456705	6392196	3419214	5022094	5105324	3050426	3313917	3271613	3262958
	20.712854	26.450968	5.435276	2.897748	3.475238	2.515402	1.654994	1.772005	2.59211	1.818155		13.914439	6.456705	6.392196	3.419214	5.022094	5.105324	3.050426	3.313917	3.271613	3.262958
