K07890	2	1	0	0	1	0	0	0	0	0
K09907	0	0	0	0	0	0	0	0	0	0
K05692	2080	2944	2336	669	710	2651	2701	3544	1747	3369
K00773	2	4	1	0	0	0	0	1	0	0
K11434	6	0	1	0	4	0	0	0	0	2
K11430	1	5	0	0	0	0	0	0	0	0
K09833	5	2	0	0	0	0	0	0	0	0
K07511	0	0	0	0	0	0	0	0	1	0
K07513	1	2	0	0	1	0	0	0	1	0
K09839	7	10	5	6	5	0	0	0	2	0
K09838	20	16	5	4	2	1	0	3	0	0
K10747	0	4	0	2	0	1	0	1	0	0
K10746	130	220	208	79	171	63	85	97	76	87
K10740	0	0	0	1	0	0	0	0	0	0
K10743	0	0	0	0	0	0	0	0	0	0
K16803	2	6	1	1	0	0	0	0	2	0
K01915	540	251	350	128	268	341	125	99	187	113
K15153	0	1	0	1	0	0	0	0	0	0
K01918	0	1	0	0	0	0	0	0	0	0
K11341	0	4	0	0	1	0	0	1	1	0
K10696	21	28	0	0	4	1	0	1	2	2
K10691	3	6	0	1	3	2	2	0	4	1
K07178	184	312	271	99	234	98	121	119	79	124
K07179	5	2	11	0	7	3	0	0	2	0
K01358	8	14	2	1	0	6	3	3	2	1
K01354	51	78	202	20	27	73	52	61	51	62
K02920	66	49	15	2	8	5	3	4	3	5
K05857	5	19	4	3	1	4	1	0	8	2
K08576	2	5	0	0	0	6	2	2	2	0
K14548	40	9	9	0	11	3	0	1	1	1
K17805	0	3	1	0	4	3	1	3	1	2
K17804	3	7	1	0	1	5	0	0	3	5
K17808	0	5	1	0	0	1	3	0	1	0
K15553	1	0	5	0	2	0	2	1	1	0
K15551	5	6	8	0	0	9	2	1	9	2
K05605	0	1	0	1	0	1	0	0	2	0
K01823	4	1	5	0	0	1	1	0	1	0
K04078	26	11	1	1	1	1	3	0	1	0
K04079	1450	510	732	118	369	731	328	355	566	388
K04077	89	20	23	3	11	7	4	3	4	5
K15085	46	35	29	12	23	19	22	15	18	22
K09291	4	13	2	0	0	0	0	4	2	9
K05609	0	0	0	0	0	0	0	0	0	0
K00999	0	2	0	0	0	0	0	0	0	0
K08860	0	27	3	2	0	1	3	1	8	1
K00995	0	4	0	0	0	0	0	0	0	0
K00991	11	3	0	0	0	0	0	0	0	0
K00993	0	10	0	1	0	2	1	0	0	0
K13998	0	2	0	0	0	0	0	0	0	0
K02930	499	238	1720	412	738	355	495	536	544	480
K02932	423	129	115	7	28	33	14	17	32	23
K02934	96	86	38	5	18	7	8	5	5	14
K02937	218	62	56	6	17	10	11	12	22	19
K02936	105	42	24	1	9	5	2	7	5	3
K02938	1831	361	288	22	55	63	49	63	61	78
K17973	77	134	116	47	100	39	41	61	40	51
K17972	0	7	2	0	3	1	2	1	0	2
K00208	35	17	12	9	14	0	3	3	3	0
K01001	662080	406234	410199	263689	226049	787651	172900	166111	487270	203706
K04523	0	5	3	1	3	8	1	0	2	0
K14848	11	1	10	0	9	2	1	2	3	1
K01007	2	9	3	6	1	1	0	2	3	2
K01008	11	28	9	2	0	1	1	0	0	0
K14847	18	6	11	0	8	6	1	2	1	2
K14844	16	10	11	0	7	3	0	2	2	3
K14842	14	5	7	0	1	0	3	2	1	1
K14843	22	8	15	0	11	1	1	0	4	1
K14840	7	5	5	0	3	0	1	2	0	2
K14841	5	5	10	0	1	6	0	3	3	4
K09584	0	1	0	0	0	3	0	0	1	0
K13481	0	2	0	0	1	0	0	1	1	1
K13649	4	8	4	0	2	0	0	1	1	0
K04456	29	23	24	21	22	29	17	20	19	10
K04457	24	9	4	0	4	5	4	0	4	0
K01130	0	2	0	0	0	1	0	0	0	0
K14682	1753	2717	2218	760	1645	910	996	1032	722	1097
