gID	Old Seq Name	Description
Throt5678	Locus4697v1rpkm22.09	Locus4697v1rpkm22.09
Throt5679	Locus4698v1rpkm22.09	Locus4698v1rpkm22.09
Throt5680	Locus4699v1rpkm22.08	Locus4699v1rpkm22.08
Throt5681	Locus4700v1rpkm22.08	Locus4700v1rpkm22.08
Throt5682	Locus4701v1rpkm22.08	Locus4701v1rpkm22.08
Throt5683	Locus4702v1rpkm22.07	Locus4702v1rpkm22.07
Throt5684	Locus4703v1rpkm22.07	Locus4703v1rpkm22.07
Throt5685	Locus4704v1rpkm22.06	Locus4704v1rpkm22.06
Throt5686	Locus4705v1rpkm22.05	Locus4705v1rpkm22.05
Throt5687	Locus4706v1rpkm22.04	Locus4706v1rpkm22.04
Throt5688	Locus4707v1rpkm22.03	Locus4707v1rpkm22.03
Throt5689	Locus4708v1rpkm22.02	Locus4708v1rpkm22.02
Throt5690	Locus4709v1rpkm22.01	Locus4709v1rpkm22.01
Throt5691	Locus4710v1rpkm22.01	Locus4710v1rpkm22.01
Throt5692	Locus4711v1rpkm22.00	Locus4711v1rpkm22.00
Throt5693	Locus4712v1rpkm22.00	Locus4712v1rpkm22.00
Throt5694	Locus4712v2rpkm5.83	Locus4712v2rpkm5.83
Throt5695	Locus4713v1rpkm21.99	Locus4713v1rpkm21.99
Throt5696	Locus4714v1rpkm21.99	Locus4714v1rpkm21.99
Throt5697	Locus4714v2rpkm2.60	Locus4714v2rpkm2.60
Throt5698	Locus4714v3rpkm1.20_PRE	Locus4714v3rpkm1.20_PRE
Throt5699	Locus4714v4rpkm0.83_PRE	Locus4714v4rpkm0.83_PRE
Throt5700	Locus4715v1rpkm21.99	Locus4715v1rpkm21.99
Throt5701	Locus4716v1rpkm21.98	Locus4716v1rpkm21.98
Throt5702	Locus4716v2rpkm7.20	Locus4716v2rpkm7.20
Throt5703	Locus4716v3rpkm5.88	Locus4716v3rpkm5.88
Throt5704	Locus4717v1rpkm21.98	Locus4717v1rpkm21.98
Throt5705	Locus4718v1rpkm21.98	Locus4718v1rpkm21.98
Throt5706	Locus4719v1rpkm21.97	Locus4719v1rpkm21.97
Throt5707	Locus4720v1rpkm21.97	Locus4720v1rpkm21.97
Throt5708	Locus4721v1rpkm21.95	Locus4721v1rpkm21.95
Throt5709	Locus4722v1rpkm21.95	Locus4722v1rpkm21.95
Throt5710	Locus4722v2rpkm2.51	Locus4722v2rpkm2.51
Throt5711	Locus4723v1rpkm21.95	Locus4723v1rpkm21.95
Throt5712	Locus4724v1rpkm21.95	Locus4724v1rpkm21.95
Throt5713	Locus4724v2rpkm5.17	Locus4724v2rpkm5.17
Throt5714	Locus4724v3rpkm3.59	Locus4724v3rpkm3.59
Throt5715	Locus4725v1rpkm21.94	Locus4725v1rpkm21.94
Throt5716	Locus4726v1rpkm21.94	Locus4726v1rpkm21.94
Throt5717	Locus4727v1rpkm21.93	Locus4727v1rpkm21.93
Throt5718	Locus4728v1rpkm21.93	Locus4728v1rpkm21.93
Throt5719	Locus4729v1rpkm21.93	Locus4729v1rpkm21.93
Throt5720	Locus4729v2rpkm0.30_PRE	Locus4729v2rpkm0.30_PRE
Throt5721	Locus4730v1rpkm21.93	Locus4730v1rpkm21.93
Throt5722	Locus4731v1rpkm21.92	Locus4731v1rpkm21.92
Throt5723	Locus4732v1rpkm21.92	Locus4732v1rpkm21.92
Throt5724	Locus4733v1rpkm21.92	Locus4733v1rpkm21.92
Throt5725	Locus4734v1rpkm21.91	Locus4734v1rpkm21.91
Throt5726	Locus4735v1rpkm21.91	Locus4735v1rpkm21.91
Throt5727	Locus4735v2rpkm10.38	Locus4735v2rpkm10.38
Throt5728	Locus4736v1rpkm21.91	Locus4736v1rpkm21.91
Throt5729	Locus4736v2rpkm1.97_PRE	Locus4736v2rpkm1.97_PRE
Throt5730	Locus4737v1rpkm21.90	Locus4737v1rpkm21.90
Throt5731	Locus4738v1rpkm21.90	Locus4738v1rpkm21.90
Throt5732	Locus4739v1rpkm21.87	Locus4739v1rpkm21.87
Throt5733	Locus4740v1rpkm21.86	Locus4740v1rpkm21.86
Throt5734	Locus4741v1rpkm21.86	Locus4741v1rpkm21.86
Throt5735	Locus4741v2rpkm2.19	Locus4741v2rpkm2.19
Throt5736	Locus4742v1rpkm21.84	Locus4742v1rpkm21.84
Throt5737	Locus4743v1rpkm21.84	Locus4743v1rpkm21.84
Throt5738	Locus4744v1rpkm21.84	Locus4744v1rpkm21.84
Throt5739	Locus4745v1rpkm21.84	Locus4745v1rpkm21.84
Throt5740	Locus4746v1rpkm21.84	Locus4746v1rpkm21.84
Throt5741	Locus4747v1rpkm21.83	Locus4747v1rpkm21.83
Throt5742	Locus4748v1rpkm21.83	Locus4748v1rpkm21.83
Throt5743	Locus4749v1rpkm21.83	Locus4749v1rpkm21.83
Throt5744	Locus4750v1rpkm21.82	Locus4750v1rpkm21.82
Throt5745	Locus4751v1rpkm21.82	Locus4751v1rpkm21.82
Throt5746	Locus4752v1rpkm21.82	Locus4752v1rpkm21.82
Throt5747	Locus4752v2rpkm3.33	Locus4752v2rpkm3.33
Throt5748	Locus4753v1rpkm21.81	Locus4753v1rpkm21.81
Throt5749	Locus4753v2rpkm1.37_PRE	Locus4753v2rpkm1.37_PRE
Throt5750	Locus4754v1rpkm21.81	Locus4754v1rpkm21.81
Throt5751	Locus4755v1rpkm21.80	Locus4755v1rpkm21.80
Throt5752	Locus4756v1rpkm21.80	Locus4756v1rpkm21.80
Throt5753	Locus4757v1rpkm21.79	Locus4757v1rpkm21.79
Throt5754	Locus4758v1rpkm21.79	Locus4758v1rpkm21.79
Throt5755	Locus4759v1rpkm21.79	Locus4759v1rpkm21.79
Throt5756	Locus4760v1rpkm21.78	Locus4760v1rpkm21.78
Throt5757	Locus4760v2rpkm8.76	Locus4760v2rpkm8.76
Throt5758	Locus4761v1rpkm21.76	Locus4761v1rpkm21.76
Throt5759	Locus4762v1rpkm21.76	Locus4762v1rpkm21.76
Throt5760	Locus4763v1rpkm21.75	Locus4763v1rpkm21.75
Throt5761	Locus4764v1rpkm21.74	Locus4764v1rpkm21.74
Throt5762	Locus4765v1rpkm21.74	Locus4765v1rpkm21.74
Throt5763	Locus4766v1rpkm21.73	Locus4766v1rpkm21.73
Throt5764	Locus4767v1rpkm21.73	Locus4767v1rpkm21.73
Throt5765	Locus4767v2rpkm1.52_PRE	Locus4767v2rpkm1.52_PRE
Throt5766	Locus4768v1rpkm21.73	Locus4768v1rpkm21.73
Throt5767	Locus4769v1rpkm21.73	Locus4769v1rpkm21.73
Throt5768	Locus4770v1rpkm21.72	Locus4770v1rpkm21.72
Throt5769	Locus4771v1rpkm21.72	Locus4771v1rpkm21.72
Throt5770	Locus4772v1rpkm21.71	Locus4772v1rpkm21.71
Throt5771	Locus4773v1rpkm21.71	Locus4773v1rpkm21.71
Throt5772	Locus4774v1rpkm21.70	Locus4774v1rpkm21.70
Throt5773	Locus4775v1rpkm21.70	Locus4775v1rpkm21.70
Throt5774	Locus4776v1rpkm21.70	Locus4776v1rpkm21.70
Throt5775	Locus4777v1rpkm21.70	Locus4777v1rpkm21.70
Throt5776	Locus4778v1rpkm21.70	Locus4778v1rpkm21.70
Throt5777	Locus4779v1rpkm21.69	Locus4779v1rpkm21.69
Throt5778	Locus4780v1rpkm21.69	Locus4780v1rpkm21.69
Throt5779	Locus4781v1rpkm21.69	Locus4781v1rpkm21.69
Throt5780	Locus4782v1rpkm21.69	Locus4782v1rpkm21.69
Throt5781	Locus4782v2rpkm2.79	Locus4782v2rpkm2.79
Throt5782	Locus4783v1rpkm21.69	Locus4783v1rpkm21.69
Throt5783	Locus4784v1rpkm21.69	Locus4784v1rpkm21.69
Throt5784	Locus4785v1rpkm21.69	Locus4785v1rpkm21.69
Throt5785	Locus4786v1rpkm21.68	Locus4786v1rpkm21.68
Throt5786	Locus4787v1rpkm21.68	Locus4787v1rpkm21.68
Throt5787	Locus4787v2rpkm2.83	Locus4787v2rpkm2.83
Throt5788	Locus4788v1rpkm21.68	Locus4788v1rpkm21.68
Throt5789	Locus4789v1rpkm21.68	Locus4789v1rpkm21.68
Throt5790	Locus4790v1rpkm21.67	Locus4790v1rpkm21.67
Throt5791	Locus4791v1rpkm21.67	Locus4791v1rpkm21.67
Throt5792	Locus4792v1rpkm21.67	Locus4792v1rpkm21.67
Throt5793	Locus4793v1rpkm21.66	Locus4793v1rpkm21.66
Throt5794	Locus4794v1rpkm21.66	Locus4794v1rpkm21.66
Throt5795	Locus4795v1rpkm21.65	Locus4795v1rpkm21.65
Throt5796	Locus4796v1rpkm21.65	Locus4796v1rpkm21.65
Throt5797	Locus4797v1rpkm21.64	Locus4797v1rpkm21.64
Throt5798	Locus4798v1rpkm21.64	Locus4798v1rpkm21.64
Throt5799	Locus4798v2rpkm0.54_PRE	Locus4798v2rpkm0.54_PRE
Throt5800	Locus4799v1rpkm21.63	Locus4799v1rpkm21.63
Throt5801	Locus4800v1rpkm21.63	Locus4800v1rpkm21.63
Throt5802	Locus4800v2rpkm14.30	Locus4800v2rpkm14.30
Throt5803	Locus4800v3rpkm10.87	Locus4800v3rpkm10.87
Throt5804	Locus4801v1rpkm21.63	Locus4801v1rpkm21.63
Throt5805	Locus4802v1rpkm21.62	Locus4802v1rpkm21.62
Throt5806	Locus4803v1rpkm21.62	Locus4803v1rpkm21.62
Throt5807	Locus4804v1rpkm21.61	Locus4804v1rpkm21.61
Throt5808	Locus4805v1rpkm21.61	Locus4805v1rpkm21.61
Throt5809	Locus4806v1rpkm21.60	Locus4806v1rpkm21.60
Throt5810	Locus4807v1rpkm21.59	Locus4807v1rpkm21.59
Throt5811	Locus4808v1rpkm21.58	Locus4808v1rpkm21.58
Throt5812	Locus4809v1rpkm21.58	Locus4809v1rpkm21.58
Throt5813	Locus4809v2rpkm3.11	Locus4809v2rpkm3.11
Throt5814	Locus4810v1rpkm21.57	Locus4810v1rpkm21.57
Throt5815	Locus4811v1rpkm21.57	Locus4811v1rpkm21.57
Throt5816	Locus4811v2rpkm4.70	Locus4811v2rpkm4.70
Throt5817	Locus4812v1rpkm21.57	Locus4812v1rpkm21.57
Throt5818	Locus4812v2rpkm1.40_PRE	Locus4812v2rpkm1.40_PRE
Throt5819	Locus4813v1rpkm21.56	Locus4813v1rpkm21.56
Throt5820	Locus4814v1rpkm21.56	Locus4814v1rpkm21.56
Throt5821	Locus4815v1rpkm21.56	Locus4815v1rpkm21.56
Throt5822	Locus4816v1rpkm21.56	Locus4816v1rpkm21.56
Throt5823	Locus4817v1rpkm21.55	Locus4817v1rpkm21.55
Throt5824	Locus4818v1rpkm21.55	Locus4818v1rpkm21.55
Throt5825	Locus4819v1rpkm21.54	Locus4819v1rpkm21.54
Throt5826	Locus4820v1rpkm21.54	Locus4820v1rpkm21.54
Throt5827	Locus4820v2rpkm1.43_PRE	Locus4820v2rpkm1.43_PRE
Throt5828	Locus4820v3rpkm1.10_PRE	Locus4820v3rpkm1.10_PRE
Throt5829	Locus4821v1rpkm21.53	Locus4821v1rpkm21.53
Throt5830	Locus4822v1rpkm21.53	Locus4822v1rpkm21.53
Throt5831	Locus4823v1rpkm21.53	Locus4823v1rpkm21.53
Throt5832	Locus4824v1rpkm21.52	Locus4824v1rpkm21.52
Throt5833	Locus4824v2rpkm1.20_PRE	Locus4824v2rpkm1.20_PRE
Throt5834	Locus4825v1rpkm21.52	Locus4825v1rpkm21.52
Throt5835	Locus4826v1rpkm21.51	Locus4826v1rpkm21.51
Throt5836	Locus4827v1rpkm21.51	Locus4827v1rpkm21.51
Throt5837	Locus4828v1rpkm21.51	Locus4828v1rpkm21.51
Throt5838	Locus4829v1rpkm21.51	Locus4829v1rpkm21.51
Throt5839	Locus4830v1rpkm21.50	Locus4830v1rpkm21.50
Throt5840	Locus4830v2rpkm13.66	Locus4830v2rpkm13.66
Throt5841	Locus4831v1rpkm21.50	Locus4831v1rpkm21.50
Throt5842	Locus4832v1rpkm21.48	Locus4832v1rpkm21.48
Throt5843	Locus4833v1rpkm21.48	Locus4833v1rpkm21.48
Throt5844	Locus4834v1rpkm21.47	Locus4834v1rpkm21.47
Throt5845	Locus4834v2rpkm6.79	Locus4834v2rpkm6.79
Throt5846	Locus4835v1rpkm21.47	Locus4835v1rpkm21.47
Throt5847	Locus4836v1rpkm21.46	Locus4836v1rpkm21.46
Throt5848	Locus4837v1rpkm21.46	Locus4837v1rpkm21.46
Throt5849	Locus4838v1rpkm21.46	Locus4838v1rpkm21.46
Throt5850	Locus4839v1rpkm21.45	Locus4839v1rpkm21.45
Throt5851	Locus4840v1rpkm21.45	Locus4840v1rpkm21.45
Throt5852	Locus4841v1rpkm21.45	Locus4841v1rpkm21.45
Throt5853	Locus4841v2rpkm14.70	Locus4841v2rpkm14.70
Throt5854	Locus4842v1rpkm21.45	Locus4842v1rpkm21.45
Throt5855	Locus4843v1rpkm21.45	Locus4843v1rpkm21.45
Throt5856	Locus4844v1rpkm21.45	Locus4844v1rpkm21.45
Throt5857	Locus4845v1rpkm21.44	Locus4845v1rpkm21.44
Throt5858	Locus4846v1rpkm21.44	Locus4846v1rpkm21.44
Throt5859	Locus4847v1rpkm21.44	Locus4847v1rpkm21.44
Throt5860	Locus4848v1rpkm21.43	Locus4848v1rpkm21.43
Throt5861	Locus4849v1rpkm21.42	Locus4849v1rpkm21.42
Throt5862	Locus4850v1rpkm21.42	Locus4850v1rpkm21.42
Throt5863	Locus4851v1rpkm21.42	Locus4851v1rpkm21.42
Throt5864	Locus4852v1rpkm21.42	Locus4852v1rpkm21.42
Throt5865	Locus4852v2rpkm7.37	Locus4852v2rpkm7.37
Throt5866	Locus4853v1rpkm21.41	Locus4853v1rpkm21.41
Throt5867	Locus4854v1rpkm21.40	Locus4854v1rpkm21.40
Throt5868	Locus4855v1rpkm21.40	Locus4855v1rpkm21.40
Throt5869	Locus4855v2rpkm8.04	Locus4855v2rpkm8.04
Throt5870	Locus4856v1rpkm21.39	Locus4856v1rpkm21.39
Throt5871	Locus4857v1rpkm21.39	Locus4857v1rpkm21.39
Throt5872	Locus4857v2rpkm10.87	Locus4857v2rpkm10.87
Throt5873	Locus4858v1rpkm21.39	Locus4858v1rpkm21.39
Throt5874	Locus4858v2rpkm2.10_PRE	Locus4858v2rpkm2.10_PRE
Throt5875	Locus4859v1rpkm21.38	Locus4859v1rpkm21.38
Throt5876	Locus4860v1rpkm21.38	Locus4860v1rpkm21.38
Throt5877	Locus4861v1rpkm21.38	Locus4861v1rpkm21.38
Throt5878	Locus4861v2rpkm2.33	Locus4861v2rpkm2.33
Throt5879	Locus4862v1rpkm21.38	Locus4862v1rpkm21.38
Throt5880	Locus4863v1rpkm21.37	Locus4863v1rpkm21.37
Throt5881	Locus4864v1rpkm21.37	Locus4864v1rpkm21.37
Throt5882	Locus4865v1rpkm21.37	Locus4865v1rpkm21.37
Throt5883	Locus4866v1rpkm21.36	Locus4866v1rpkm21.36
Throt5884	Locus4867v1rpkm21.36	Locus4867v1rpkm21.36
Throt5885	Locus4868v1rpkm21.36	Locus4868v1rpkm21.36
Throt5886	Locus4869v1rpkm21.36	Locus4869v1rpkm21.36
Throt5887	Locus4869v2rpkm13.29	Locus4869v2rpkm13.29
Throt5888	Locus4870v1rpkm21.35	Locus4870v1rpkm21.35
Throt5889	Locus4871v1rpkm21.35	Locus4871v1rpkm21.35
Throt5890	Locus4872v1rpkm21.33	Locus4872v1rpkm21.33
Throt5891	Locus4872v2rpkm1.07_PRE	Locus4872v2rpkm1.07_PRE
Throt5892	Locus4873v1rpkm21.32	Locus4873v1rpkm21.32
Throt5893	Locus4874v1rpkm21.31	Locus4874v1rpkm21.31
Throt5894	Locus4875v1rpkm21.31	Locus4875v1rpkm21.31
Throt5895	Locus4876v1rpkm21.30	Locus4876v1rpkm21.30
