geneID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control
Throt1624	1	2	0	0	1	1	1	0	0	0
Throt1627	0	2	0	0	0	2	0	0	0	0
Throt1626	0	1	0	0	0	2	0	0	0	0
Throt4051	0	2	2	1	0	0	0	0	0	0
Throt4050	0	0	0	0	0	2	0	0	0	0
Throt4053	77	164	161	22	26	90	84	58	30	59
Throt4052	0	1	0	0	0	0	0	0	0	0
Throt4055	0	0	0	0	0	0	0	0	0	0
Throt4054	2	0	0	0	0	0	1	1	3	0
Throt4057	0	0	0	0	0	0	0	0	0	0
Throt4056	0	0	0	0	0	0	0	0	0	0
Throt4059	3	7	1	1	3	5	3	2	4	8
Throt4058	13	10	17	6	15	17	2	3	17	4
Throt5016	0	3	0	0	1	1	0	0	2	0
Throt5017	0	0	0	1	0	0	0	0	0	0
Throt5014	0	0	0	1	2	0	0	0	0	0
Throt5015	0	6	0	0	0	0	0	0	2	0
Throt5012	4	9	14	3	14	2	4	7	4	0
Throt5013	1	8	9	2	10	2	3	5	0	0
Throt5010	0	1	0	2	2	0	1	0	2	0
Throt5011	4	0	0	2	6	1	0	0	4	0
Throt5018	0	8	3	2	0	1	0	0	2	0
Throt5019	0	2	0	0	1	0	0	0	0	0
Throt14906	2	0	0	0	0	0	0	0	0	0
Throt2549	1	1	1	3	0	4	1	0	5	0
Throt2548	5	21	4	0	0	0	8	0	0	0
Throt2541	83	154	119	47	50	42	59	42	43	41
Throt2540	17	27	4	1	3	2	1	2	3	1
Throt2543	0	1	2	0	0	0	0	0	0	0
Throt2542	9	43	46	15	9	29	30	18	5	23
Throt2545	2	2	0	1	0	1	0	0	0	0
Throt2544	19	56	44	11	20	32	26	33	14	9
Throt2547	0	4	3	0	4	2	0	2	4	0
Throt2546	0	15	8	3	5	4	1	2	8	3
Throt16052	0	0	0	0	0	0	0	0	0	0
Throt17289	0	1	0	0	0	0	0	0	0	0
Throt17288	0	0	0	0	0	2	0	0	0	0
Throt17285	4	3	1	0	1	0	0	1	1	0
Throt17284	0	2	0	0	0	0	0	0	1	0
Throt17287	0	0	0	0	0	0	0	0	0	0
Throt17286	0	1	0	1	0	1	0	0	2	0
Throt17281	0	0	0	0	3	0	0	0	0	0
Throt17280	0	0	0	1	4	3	0	0	2	0
Throt17283	0	2	0	0	0	0	0	0	2	0
