gene	S1	S2	S3	S4	S5	A	B	C	D	E
Skcos10101	2864	3647	301	77	27	136	54	67	136	73
Skcos10102	2	250	0	0	1	3	0	0	3	1
Skcos10103	364	893	152	21	12	30	7	11	8	9
Skcos10104	1	206	0	4	0	3	1	2	9	0
Skcos10105	861	3584	66	13	8	42	10	18	57	19
Skcos10106	528	2163	124	13	10	51	23	8	59	15
Skcos10107	8	168	0	1	1	6	0	1	1	4
Skcos10108	336	774	83	6	9	130	17	12	80	23
Skcos10109	47	1070	12	10	16	12	7	5	30	5
Skcos1011	875	1004	168	24	20	95	43	37	89	46
Skcos10110	122	618	24	16	13	11	6	9	23	2
Skcos10111	99	1691	33	12	13	25	10	4	26	4
Skcos10112	905	132	95	4	5	29	17	12	23	17
Skcos10113	491	573	18	11	2	8	4	9	11	4
Skcos10114	185	74	50	3	0	0	0	4	1	6
Skcos10115	0	71	0	1	2	0	0	0	1	0
Skcos10116	102	2063	46	27	3	27	4	9	28	12
Skcos10117	9	334	8	0	7	18	4	5	35	15
Skcos10118	1	15	0	1	0	1	0	1	0	0
Skcos10119	0	7	0	1	0	0	0	0	0	0
Skcos1012	439	323	83	45	26	53	26	23	30	22
Skcos10120	36	236	0	6	0	3	1	0	4	0
Skcos10121	28	936	19	12	10	120	2	4	83	2
Skcos10122	32	723	4	5	4	24	6	1	31	0
Skcos10123	583	829	37	25	6	31	1	4	28	12
Skcos10124	24	640	2	2	6	5	1	1	11	1
Skcos10125	41	327	6	5	0	9	1	2	2	2
Skcos10126	17	322	0	2	1	4	0	0	5	0
Skcos10127	546	31	137	30	9	7	18	25	25	28
Skcos10128	240	1871	32	28	5	27	10	6	31	3
Skcos10129	707	690	209	12	16	25	24	19	37	38
Skcos1013	248	38	72	0	0	20	14	8	17	14
Skcos10130	42	337	42	16	32	20	17	25	35	30
Skcos10131	7	445	0	3	0	3	1	0	4	0
Skcos10132	4	765	1	2	1	27	4	2	26	2
Skcos10133	68	685	34	6	10	32	3	0	8	4
Skcos10134	187	1199	44	18	10	212	20	24	141	24
Skcos10135	923	654	181	33	38	33	43	27	45	35
Skcos10136	8	169	2	5	2	2	0	2	5	0
Skcos10137	218	244	4	7	0	8	0	1	4	5
Skcos10138	104	1318	178	33	28	192	93	106	297	150
Skcos10139	1	2	0	0	0	0	0	0	0	0
Skcos1014	376	78	54	3	3	6	6	0	5	4
Skcos10140	12	73	0	5	1	3	3	0	5	0
Skcos10141	0	4	0	0	0	0	0	0	0	0
Skcos10142	0	17	0	0	0	2	0	0	0	0
Skcos10143	0	6	0	0	0	0	0	0	0	0
Skcos10144	17	39	2	0	0	0	0	0	0	0
Skcos10145	0	1	0	0	0	0	0	0	0	0
Skcos10146	9	141	0	3	0	1	0	0	3	0
Skcos10147	4	13	1	1	0	2	0	1	3	0
Skcos10148	26	1441	29	21	6	23	7	4	116	11
Skcos10149	20	524	7	14	1	9	1	2	7	2
Skcos1015	34	69	10	1	1	4	0	0	4	0
Skcos10150	94	184	1	15	0	2	0	1	4	1
Skcos10151	8	391	5	6	0	1	0	1	3	0
Skcos10152	86	605	3	14	1	2	2	1	0	1
Skcos10153	99	463	2	6	5	7	0	0	7	2
Skcos10154	103	140	13	5	4	18	3	6	32	3
Skcos10155	243	1002	168	23	71	164	33	52	248	65
Skcos10156	465	1268	8	35	1	4	2	0	5	3
Skcos10157	172	676	18	13	5	30	3	6	20	3
Skcos10158	114	1029	29	9	3	20	2	7	25	3
Skcos10159	149	376	17	25	3	2	0	1	3	5
Skcos1016	551	889	32	24	11	21	5	5	21	4
Skcos10160	10998	1600	1612	113	174	305	198	224	381	379
Skcos10161	0	0	0	0	0	0	0	0	0	0
Skcos10162	67	234	13	3	0	4	0	1	6	4
Skcos10163	241	2560	58	93	34	43	14	23	67	14
Skcos10164	67	1595	27	29	4	11	5	4	24	0
Skcos10165	10	109	0	1	4	0	0	0	0	0
Skcos10166	119	2520	55	22	7	30	10	17	59	15
Skcos10167	0	0	0	1	0	0	0	0	0	0
Skcos10168	2	13	0	0	0	0	0	0	0	0
Skcos10169	14	0	1	0	0	1	0	0	1	0
Skcos1017	20134	3635	3018	169	395	949	402	481	971	672
Skcos10170	2	205	1	3	0	0	0	0	0	0
Skcos10171	12	863	6	12	3	12	1	1	13	1
Skcos10172	58	419	11	2	0	4	3	1	8	5
Skcos10173	21	827	8	15	7	15	1	7	17	2
Skcos10174	534	1650	25	47	4	12	2	3	11	2
Skcos10175	113	40	17	0	1	1	0	0	0	1
Skcos10176	23	329	8	9	3	4	0	0	4	1
Skcos10177	72	73	8	3	3	1	1	0	1	1
Skcos10178	323	4475	157	28	36	353	13	24	274	25
Skcos10179	36	194	32	29	6	6	8	8	33	10
