gene	S1	S2	S3	S4	S5	A	B	C	D	E
Skcos12580	36	277	8	1	3	2	0	0	4	3
Skcos12581	55	2267	121	17	10	131	14	14	132	14
Skcos12582	26	201	8	15	5	2	2	0	4	1
Skcos12583	236	1191	19	12	5	20	4	1	24	5
Skcos12584	15	28	1	0	0	0	0	0	0	0
Skcos12585	0	18	0	0	0	0	1	0	0	0
Skcos12586	1034	1935	450	114	69	81	71	94	219	92
Skcos12587	121	976	5	10	0	5	2	6	5	5
Skcos12588	7	88	2	3	0	1	0	0	3	0
Skcos12589	20	336	0	9	1	0	2	0	3	0
Skcos1259	291	123	27	6	10	10	5	2	11	4
Skcos12590	6	76	4	0	0	12	1	0	11	0
Skcos12591	293	1214	66	16	19	19	8	11	22	7
Skcos12592	44	364	3	22	5	12	1	1	11	1
Skcos12593	8352	1543	1103	2	79	162	35	50	156	106
Skcos12594	156	1029	36	6	2	5	1	1	1	0
Skcos12595	52	449	10	14	2	3	1	1	7	0
Skcos12596	85	1763	19	15	6	17	1	8	13	5
Skcos12597	52	384	8	2	1	3	2	2	7	0
Skcos12598	22	603	1	17	2	2	0	2	5	1
Skcos12599	14	292	2	5	2	2	0	0	5	0
Skcos126	5	88	2	0	2	1	0	0	0	0
Skcos1260	364	1767	107	13	8	52	25	34	53	36
Skcos12600	78	177	1	1	0	3	2	0	5	3
Skcos12601	137	364	160	33	22	36	25	31	89	42
Skcos12602	2357	3060	872	118	105	362	171	187	623	203
Skcos12603	138	17	42	8	1	4	1	0	2	0
Skcos12604	2	387	7	0	0	11	1	1	1	0
Skcos12605	11746	21015	657	655	46	50	53	55	111	66
Skcos12606	45	257	2	0	2	5	2	1	13	2
Skcos12607	83	1307	54	14	20	41	21	23	23	51
Skcos12608	32	552	3	11	2	5	1	3	3	0
Skcos12609	9	2026	36	2	4	268	25	18	226	17
Skcos1261	11656	1482	1612	80	103	288	142	207	304	301
Skcos12610	212	22	2	6	0	0	0	0	3	0
Skcos12611	23	221	0	1	1	5	0	1	0	0
Skcos12612	353	472	50	2	5	12	0	3	5	3
Skcos12613	191	1588	62	18	25	188	14	15	152	21
Skcos12614	11	127	6	1	0	0	1	0	0	0
Skcos12615	339	1363	80	22	18	51	15	16	99	32
Skcos12616	38	152	9	1	1	4	0	0	3	0
Skcos12617	70	117	10	6	3	2	1	0	9	1
Skcos12618	1166	2904	691	265	191	874	86	112	492	79
Skcos12619	5249	660	2135	44	110	494	340	367	485	416
Skcos1262	26	58	10	1	1	1	2	3	4	5
Skcos12620	674	430	134	8	10	32	6	13	25	19
Skcos12621	613	2817	296	81	153	163	99	88	198	104
Skcos12622	32	375	6	5	5	1	3	4	3	3
Skcos12623	10	17	0	0	0	0	0	0	0	0
Skcos12624	13	261	8	3	3	6	1	0	15	2
Skcos12625	16	690	1	9	5	7	4	3	7	4
Skcos12626	15	779	7	8	9	4	0	3	14	4
Skcos12627	70	333	9	9	2	7	0	0	5	0
Skcos12628	20	360	4	11	6	3	2	0	7	3
Skcos12629	591	2259	158	60	73	31	11	18	117	20
Skcos1263	908	284	134	2	7	26	10	8	17	11
Skcos12630	106	1767	9	13	5	35	3	3	26	4
Skcos12631	112	888	19	15	2	13	2	4	20	3
Skcos12632	5	49	0	1	0	2	0	0	1	0
Skcos12633	5	2	0	0	0	0	0	2	0	0
Skcos12634	9	58	0	0	0	0	0	0	2	0
Skcos12635	289	2562	61	31	7	50	8	11	63	7
Skcos12636	2574	5458	793	179	128	267	124	92	475	146
Skcos12637	90	217	4	4	3	16	5	4	8	3
Skcos12638	0	10	0	0	0	0	0	0	0	0
Skcos12639	170	1598	16	26	12	15	8	3	24	3
Skcos1264	63	302	19	4	0	10	3	4	8	4
Skcos12640	243	1922	60	14	7	43	16	10	36	16
Skcos12641	220	366	4	3	0	10	3	1	12	2
Skcos12642	80	181	21	3	0	7	9	6	12	6
Skcos12643	4	36	2	0	0	0	0	0	0	0
Skcos12644	5	216	0	1	0	1	0	1	2	1
Skcos12645	72	1349	27	30	12	5	2	0	3	1
Skcos12646	79	504	17	2	8	5	2	2	5	3
Skcos12647	1468	1107	18	25	7	22	8	5	24	1
Skcos12648	156	1895	48	24	20	24	2	3	25	7
Skcos12649	6	282	24	8	0	10	1	1	12	0
Skcos1265	82	3776	45	33	23	104	10	9	131	11
Skcos12650	72	238	115	21	14	13	27	30	63	28
Skcos12651	27	42	0	0	0	0	0	0	2	0
Skcos12652	1562	1026	271	24	14	96	40	91	51	66
Skcos12653	559	934	158	21	20	76	17	28	93	29
Skcos12654	44	180	7	1	6	5	2	2	25	1
Skcos12655	172	1109	15	6	5	7	2	1	9	3
Skcos12656	23	52	4	7	2	5	0	1	2	1
Skcos12657	2	26	0	0	0	0	0	0	0	4
Skcos12658	214	678	56	18	10	49	9	13	51	15
Skcos12659	91	541	9	12	4	12	6	1	6	2
Skcos1266	2291	631	871	8	43	206	85	138	165	190
Skcos12660	234	684	63	34	16	36	4	4	10	2
Skcos12661	9	2391	7	36	12	27	5	0	23	5
Skcos12662	3	18	0	2	0	3	0	0	0	0
Skcos12663	123	1739	7	19	11	31	5	5	23	8
Skcos12664	0	32	0	0	0	0	0	0	0	0
Skcos12665	65	594	53	75	7	54	21	7	140	21
Skcos12666	16	119	0	0	0	0	0	0	3	0
Skcos12667	0	21	0	0	0	1	0	0	0	0
Skcos12668	56	388	2	5	5	4	0	0	1	2
Skcos12669	2	251	0	1	0	1	0	0	2	0
Skcos1267	18	45	0	0	0	85	0	0	18	1
Skcos12670	6	48	7	0	2	4	0	1	0	0
Skcos12671	4	25	4	1	0	0	0	0	0	0
Skcos12672	0	31	2	0	0	2	1	0	0	0
Skcos12673	0	0	0	0	0	0	0	0	0	0
Skcos12674	104	936	14	22	4	20	2	4	9	2
Skcos12675	1	56	0	1	0	1	0	0	3	0
Skcos12676	32	564	4	10	6	2	0	0	1	0
Skcos12677	3	172	2	2	0	3	0	1	4	0
Skcos12678	108	2124	32	15	29	23	7	3	18	3
Skcos12679	58	232	12	3	2	6	0	0	2	2
Skcos1268	3236	106293	16155	749	4194	11265	7691	7193	26810	9280
Skcos12680	114	281	15	9	1	3	0	6	8	5
Skcos12681	500	1159	150	44	22	84	12	19	129	27
Skcos12682	55	22	8	0	0	4	3	7	7	4
Skcos12683	160	434	5	8	1	9	0	2	13	1
Skcos12684	37	135	14	0	2	3	5	3	5	2
Skcos12685	1495	2236	260	36	12	55	38	35	61	45
Skcos12686	560	1598	338	83	48	53	35	47	187	40
Skcos12687	13	76	2	1	2	4	0	1	1	4
Skcos12688	48	202	9	0	2	3	2	1	8	0
Skcos12689	2433	3235	994	109	292	112	46	160	417	73
Skcos1269	12144	1477	811	40	57	152	63	118	132	132
Skcos12690	208	2714	72	27	22	60	16	29	87	27
Skcos12691	17	4934	56	55	27	32	12	6	37	7
Skcos12692	1595	12818	816	80	83	89	79	78	135	87
Skcos12693	0	2	0	0	0	0	0	0	0	0
Skcos12694	0	0	0	0	0	0	0	0	0	0
Skcos12695	0	0	0	0	0	0	0	0	0	0
Skcos12696	0	0	0	0	0	0	0	0	0	0
Skcos12697	10	203	2	1	0	2	0	9	0	4
Skcos12698	20	240	3	6	0	2	0	0	4	0
Skcos12699	39	72	9	0	1	1	0	0	0	0
Skcos127	11	1	3	0	0	2	1	0	0	0
Skcos1270	503	3907	345	58	21	71	45	63	172	62
Skcos12700	199	3037	49	40	22	24	9	7	34	6
Skcos12701	76	412	5	3	2	7	1	0	8	0
Skcos12702	55	3189	113	28	60	194	71	92	279	105
Skcos12703	21	860	13	9	6	2	3	2	2	3
Skcos12704	25	195	1	5	2	11	1	1	6	3
Skcos12705	3	130	4	2	0	0	0	0	5	0
Skcos12706	211	118	23	2	1	3	10	8	7	4
Skcos12707	54	337	69	52	41	35	33	58	39	24
Skcos12708	27	445	18	9	2	11	0	0	9	2
Skcos12709	69	416	9	4	4	1	0	0	5	4
Skcos1271	38	342	6	8	0	1	3	0	3	0
Skcos12710	20	467	11	5	3	4	0	1	11	1
Skcos12711	33	219	7	4	0	12	1	2	11	1
Skcos12712	43	310	8	0	0	9	1	3	3	1
Skcos12713	124	1249	29	23	3	19	7	6	46	14
Skcos12714	3	121	0	1	0	0	0	0	0	0
Skcos12715	276	1044	47	4	4	29	11	7	23	4
Skcos12716	54	842	9	7	8	14	4	12	38	4
Skcos12717	8	189	13	6	2	7	1	4	5	2
Skcos12718	692	370	172	8	14	27	10	6	26	9
Skcos12719	11	55	5	29	4	1	0	0	3	0
Skcos1272	1703	510	220	3	9	39	6	27	26	32
Skcos12720	126	186	5	0	2	3	0	1	0	2
Skcos12721	45	1827	19	19	9	44	9	5	44	9
Skcos12722	707	13271	294	167	46	160	35	48	244	36
Skcos12723	20	327	7	2	10	99	4	7	55	12
Skcos12724	10161	1521	4675	55	328	1020	616	822	1196	1082
Skcos12725	0	20	0	0	0	0	0	0	0	0
Skcos12726	0	7	4	1	4	0	1	1	2	2
Skcos12727	3241	642	611	14	15	56	25	33	31	75
Skcos12728	1	2	0	0	0	0	0	0	0	0
Skcos12729	18	490	8	2	4	0	0	0	0	0
Skcos1273	345	662	40	12	11	14	4	3	27	7
Skcos12730	7164	35	246	13	11	36	8	15	10	30
Skcos12731	40	458	3	6	6	3	0	0	2	3
Skcos12732	365	3110	79	27	24	50	14	20	83	12
Skcos12733	85	310	41	5	7	771	25	33	239	43
Skcos12734	4620	827	1066	92	72	304	138	201	271	233
Skcos12735	0	0	0	1	0	0	0	0	0	0
Skcos12736	2	37	2	0	0	0	0	0	0	0
Skcos12737	8	16	7	1	0	0	1	0	5	1
Skcos12738	60	242	33	8	8	6	6	4	19	1
Skcos12739	199	320	98	20	44	9	4	11	66	11
Skcos1274	24	100	3	1	0	3	0	1	1	3
Skcos12740	4	40	0	2	0	1	0	0	0	0
Skcos12741	15	55	0	4	0	2	0	0	0	0
Skcos12742	65	1436	27	8	7	20	1	0	16	3
Skcos12743	725	2802	284	39	58	92	42	51	77	49
Skcos12744	1	26	0	0	0	0	0	0	0	0
Skcos12745	23	1166	10	11	4	22	7	4	22	2
Skcos12746	193	1267	66	40	6	20	8	4	49	7
Skcos12747	77	2334	29	26	13	29	12	13	33	19
Skcos12748	38	1825	18	22	5	13	6	4	32	1
Skcos12749	46	38	6	0	2	3	5	0	1	0
Skcos1275	33	98	2	21	6	10	1	1	6	1
Skcos12750	832	489	49	24	6	12	5	7	17	6
Skcos12751	387	656	29	5	1	10	1	2	3	4
Skcos12752	6	109	3	0	0	1	1	1	2	0
Skcos12753	70	152	38	6	6	7	6	14	26	8
Skcos12754	61	473	2	6	0	10	1	0	3	0
Skcos12755	123	2117	76	23	37	7	5	12	2	6
Skcos12756	73	558	2	10	2	24	2	3	21	3
Skcos12757	311	2019	69	35	17	30	4	5	64	3
Skcos12758	93	195	3	2	1	1	0	0	3	0
Skcos12759	0	2	0	0	0	0	0	0	0	0
Skcos1276	151	240	29	5	1	0	1	0	2	1
Skcos12760	1278	199	447	26	18	120	76	91	85	121
Skcos12761	49	854	13	10	3	7	3	2	4	0
Skcos12762	9	127	2	0	1	0	1	0	1	0
Skcos12763	0	15	0	0	0	0	0	2	0	0
Skcos12764	2	117	4	3	0	1	1	1	5	0
Skcos12765	41	208	4	2	0	2	1	1	1	0
Skcos12766	0	42	0	0	0	4	0	0	0	1
Skcos12767	5	136	4	2	0	1	0	0	7	0
Skcos12768	8	229	18	17	3	10	7	8	49	14
Skcos12769	204	112	7	1	1	6	0	0	6	1
Skcos1277	138	2560	495	25	119	260	215	213	652	288
Skcos12770	356	105	25	0	2	1	0	1	3	1
Skcos12771	14	334	9	5	4	4	0	0	0	0
Skcos12772	362	1219	40	13	9	32	5	2	29	0
Skcos12773	22	361	3	6	4	2	3	1	8	0
Skcos12774	1086	822	472	10	14	113	86	89	62	118
Skcos12775	12	879	3	8	0	3	0	0	10	2
Skcos12776	13	60	7	3	5	1	7	0	4	1
Skcos12777	19	87	3	0	2	1	1	1	5	0
Skcos12778	26	2046	22	18	8	8	1	4	18	2
Skcos12779	0	0	0	0	0	0	0	0	0	0
Skcos1278	97	343	5	5	4	10	3	0	1	1
Skcos12780	9	24	9	1	2	1	0	1	3	0
Skcos12781	0	9	0	0	0	0	0	0	0	0
Skcos12782	89	309	3	5	2	0	1	1	3	0
Skcos12783	35	126	0	1	1	1	0	0	1	0
Skcos12784	26	179	2	5	4	3	2	0	11	0
Skcos12785	26	167	1	4	0	3	0	1	3	0
Skcos12786	3142	1235	1582	17	119	519	320	331	500	423
Skcos12787	104	2479	25	28	7	14	3	6	25	2
Skcos12788	11	182	2	2	2	0	0	0	0	0
Skcos12789	2	58	1	0	0	3	0	0	1	0
Skcos1279	4	1	0	0	0	0	0	0	0	0
Skcos12790	19	16	2	1	1	1	0	1	3	0
Skcos12791	14	412	8	7	1	6	2	1	9	1
Skcos12792	227	480	41	2	3	5	2	2	11	6
Skcos12793	1606	12089	282	134	98	186	42	53	228	57
Skcos12794	2061	989	187	37	17	38	15	12	34	18
Skcos12795	161	1404	85	18	21	36	13	9	86	16
Skcos12796	103	788	21	12	8	10	12	1	24	10
Skcos12797	28	631	2	2	0	5	0	0	5	0
Skcos12798	296	395	11	5	6	6	3	2	8	1
Skcos12799	2597	704	1440	68	135	470	253	317	435	396
Skcos128	36	10	13	0	0	2	0	1	3	0
Skcos1280	2	40	3	0	0	0	0	2	7	0
Skcos12800	1416	2040	159	35	29	85	15	31	63	23
Skcos12801	96	1637	16	19	15	21	4	6	18	3
Skcos12802	67	1391	23	15	5	21	2	2	9	6
Skcos12803	29	1962	4	22	1	20	6	7	25	2
Skcos12804	35	88	3	0	0	3	0	4	1	6
Skcos12805	310	3813	72	68	31	59	18	11	76	20
Skcos12806	77	3478	43	38	21	13	8	5	12	10
Skcos12807	33	2857	11	4	4	128	10	10	152	15
Skcos12808	4	183	7	3	0	2	1	2	5	0
Skcos12809	10	502	8	5	4	1	0	0	3	2
Skcos1281	265	68	38	6	6	20	4	10	10	8
Skcos12810	22	720	17	15	4	2	0	1	3	4
Skcos12811	36	127	5	3	2	0	0	0	0	0
Skcos12812	54	1384	15	20	2	25	0	4	18	3
Skcos12813	47	132	0	2	0	2	0	0	4	0
Skcos12814	304	151	57	1	0	13	2	6	11	4
Skcos12815	38	625	1	2	5	4	1	2	11	0
Skcos12816	17	140	9	3	2	9	2	1	8	4
Skcos12817	28	171	17	6	3	6	11	3	8	6
Skcos12818	19487	20225	1714	933	235	402	200	276	482	260
Skcos12819	99	19	0	0	1	0	1	2	3	0
Skcos1282	23	115	7	1	0	2	2	0	3	0
Skcos12820	171	369	20	10	5	15	1	2	13	4
Skcos12821	15659	2296	1610	86	120	375	202	239	352	302
Skcos12822	4	396	4	9	0	6	1	1	0	2
Skcos12823	13	447	1	6	4	2	0	0	1	0
Skcos12824	54	1480	13	17	10	16	4	1	14	1
Skcos12825	30	1271	13	16	0	15	3	0	19	2
Skcos12826	411	1273	60	19	20	25	4	5	28	7
Skcos12827	16	37	1	0	0	0	0	0	0	0
Skcos12828	16321	3262	3273	39	142	415	174	385	391	458
Skcos12829	515	141	154	4	21	45	22	32	32	51
Skcos1283	46	602	0	1	0	47	1	0	41	1
Skcos12830	1164	1924	367	83	111	119	15	56	230	33
Skcos12831	5563	1030	268	134	42	67	11	13	49	17
Skcos12832	135	290	4	4	4	4	0	3	11	1
Skcos12833	232	1112	27	16	10	16	3	4	29	3
Skcos12834	134	1906	30	17	16	28	7	5	33	12
Skcos12835	7	78	6	1	0	0	0	0	1	0
Skcos12836	8	35	3	0	0	2	0	0	0	0
Skcos12837	222	3037	59	37	19	29	22	19	74	10
Skcos12838	34	12	12	0	2	0	1	3	2	1
Skcos12839	5	107	0	0	0	2	0	0	1	0
Skcos1284	105	2068	43	47	2	14	5	1	7	1
Skcos12840	803	2596	163	13	11	65	18	50	83	39
Skcos12841	0	0	0	0	0	0	0	0	0	0
Skcos12842	26	98	11	3	0	3	1	1	9	0
Skcos12843	12	354	5	4	3	11	3	2	5	2
Skcos12844	35	480	36	21	4	24	6	9	57	14
Skcos12845	14	265	7	2	3	3	0	0	2	0
Skcos12846	409	1473	64	23	27	55	14	7	48	15
Skcos12847	296	346	6	14	2	5	1	0	8	0
Skcos12848	217	347	48	1	5	29	6	13	11	13
Skcos12849	316	1100	50	20	8	60	13	10	67	10
Skcos1285	77	659	13	4	0	13	5	5	22	4
Skcos12850	9	24	31	18	17	35	2	2	20	0
Skcos12851	58	391	16	8	5	46	0	8	68	3
Skcos12852	0	0	3	0	0	0	0	0	0	0
Skcos12853	77	1215	9	6	2	18	2	5	16	8
Skcos12854	37	638	5	9	5	12	0	0	12	4
Skcos12855	5	370	2	2	3	2	1	0	7	0
Skcos12856	286	90	42	15	12	5	7	13	5	5
Skcos12857	315	589	39	13	7	13	5	2	18	9
Skcos12858	4	200	2	5	3	2	0	0	3	0
Skcos12859	2	118	0	0	0	0	0	0	5	0
Skcos1286	127	378	6	11	1	10	1	4	20	0
Skcos12860	44	604	7	22	6	4	1	1	0	0
Skcos12861	0	12	0	0	0	0	0	0	0	0
Skcos12862	0	21	0	0	2	0	0	0	0	0
Skcos12863	0	2	0	0	0	0	0	0	0	0
Skcos12864	4	100	1	1	1	0	0	0	2	0
Skcos12865	92	3746	34	54	10	73	9	10	81	10
Skcos12866	113	82	9	2	1	7	2	0	11	0
Skcos12867	10	101	1	0	0	4	0	0	3	1
Skcos12868	0	0	0	0	0	0	0	0	0	0
Skcos12869	14	381	8	10	1	5	1	1	8	0
Skcos1287	621	1479	106	28	29	8	17	7	34	9
Skcos12870	0	83	3	0	0	1	4	0	1	0
Skcos12871	121	2649	83	22	37	15	9	6	3	10
Skcos12872	52	920	22	12	14	16	1	2	7	2
Skcos12873	85	1401	46	29	13	4	4	6	34	8
Skcos12874	57	638	19	8	5	5	1	1	8	5
Skcos12875	465	270	46	12	5	17	5	5	8	15
Skcos12876	581	1934	37	28	14	58	8	6	49	15
Skcos12877	177	657	10	25	5	7	1	0	11	0
Skcos12878	56	1806	21	20	17	15	1	7	14	10
Skcos12879	16	169	2	5	0	2	1	0	2	1
Skcos1288	589	3133	261	28	53	51	31	28	60	50
Skcos12880	1338	1407	86	56	38	25	5	14	38	4
Skcos12881	63	870	13	8	2	8	0	0	8	0
Skcos12882	45	326	1	4	1	1	2	1	1	0
Skcos12883	57	372	21	3	2	6	3	1	6	3
Skcos12884	13	195	5	0	2	0	0	4	5	4
Skcos12885	155	1166	67	17	26	29	9	11	61	19
Skcos12886	7	323	5	6	3	4	0	1	4	1
Skcos12887	45	1112	6	10	3	10	1	0	11	0
Skcos12888	59	5518	41	59	13	50	15	17	48	11
Skcos12889	81	2096	51	19	12	169	4	1	139	10
Skcos1289	1431	6708	1854	76	69	1076	636	709	1298	962
Skcos12890	994	49	76	13	7	18	5	2	7	3
Skcos12891	225	1767	240	20	36	114	59	59	175	76
Skcos12892	10963	2040	1335	21	38	291	166	270	269	314
Skcos12893	203	951	15	9	6	16	1	3	12	0
Skcos12894	611	1586	50	15	12	34	7	15	45	20
Skcos12895	248	158	54	0	2	12	4	10	10	10
Skcos12896	72	1297	52	39	32	34	34	19	46	25
Skcos12897	67	2698	40	28	19	53	11	17	56	20
Skcos12898	116	429	123	30	57	92	71	55	23	27
Skcos12899	2	92	0	0	0	2	1	0	1	0
Skcos129	107	253	17	1	1	8	2	3	7	0
Skcos1290	2396	4561	436	140	62	211	59	80	193	52
Skcos12900	120	772	10	4	2	4	0	3	11	0
Skcos12901	464	2844	116	53	23	39	5	5	48	9
Skcos12902	86	857	21	12	10	44	2	3	28	4
Skcos12903	712	1097	26	25	11	8	2	2	11	3
Skcos12904	141	1362	14	10	2	16	0	5	14	7
Skcos12905	19	1330	3	20	0	7	4	2	11	5
Skcos12906	204	49	9	14	6	2	0	0	1	0
Skcos12907	155	930	26	25	6	13	1	1	6	3
Skcos12908	384	209	41	5	1	22	3	3	11	7
Skcos12909	175	500	81	36	18	39	8	18	41	7
Skcos1291	441	2312	45	31	15	26	7	12	57	6
Skcos12910	11	790	2	19	1	10	3	4	8	0
Skcos12911	0	1	0	0	0	0	0	0	0	0
Skcos12912	3	10	0	0	0	0	0	0	0	0
Skcos12913	0	3	0	0	0	0	0	0	0	0
Skcos12914	50	1346	56	27	64	55	6	16	360	20
Skcos12915	8	45	7	13	10	4	0	2	7	1
Skcos12916	61	562	10	13	0	6	2	3	11	1
Skcos12917	862	471	21	29	4	8	4	8	12	14
Skcos12918	2283	399	527	1	43	103	27	50	114	88
Skcos12919	258	1200	31	11	7	19	2	2	20	2
Skcos1292	153	2687	22	69	8	45	8	10	25	19
Skcos12920	395	380	77	5	3	21	6	7	21	14
Skcos12921	13	242	10	2	1	0	4	3	6	2
Skcos12922	1	52	0	0	0	0	0	0	0	0
Skcos12923	4568	994	1518	17	95	260	126	236	220	232
Skcos12924	41	815	11	8	6	1	0	1	1	3
Skcos12925	8	86	1	3	2	2	2	0	1	0
Skcos12926	13	382	5	2	3	2	0	2	2	0
Skcos12927	41	399	15	4	4	9	1	9	6	4
Skcos12928	67	1691	55	51	13	27	19	11	43	10
Skcos12929	142	912	36	11	7	9	1	3	25	2
Skcos1293	66	1409	14	10	11	10	7	3	22	4
Skcos12930	766	1905	48	20	8	42	12	24	19	22
Skcos12931	18	133	3	2	0	1	0	0	3	1
Skcos12932	74	1164	12	14	2	13	1	3	18	0
Skcos12933	234	1200	33	16	1	20	8	6	25	7
Skcos12934	5	76	0	1	0	1	0	0	2	0
Skcos12935	15	365	1	8	0	2	0	0	3	0
Skcos12936	28	47	5	1	0	0	0	0	0	1
Skcos12937	23	447	14	11	3	11	2	3	10	0
Skcos12938	51	693	8	7	2	8	0	7	12	1
Skcos12939	148	1344	27	28	4	8	4	8	15	4
Skcos1294	1312	599	527	16	40	115	60	55	113	96
Skcos12940	17	143	0	1	1	2	0	2	0	4
Skcos12941	1010	4288	713	45	99	664	363	384	857	595
Skcos12942	179	724	23	4	3	19	11	11	10	9
Skcos12943	17	628	2	3	0	5	0	0	14	0
Skcos12944	49	215	56	8	30	20	6	3	2	0
Skcos12945	30	233	3	5	0	6	1	4	7	0
Skcos12946	524	554	137	54	19	47	2	8	30	6
Skcos12947	25	32	4	1	0	4	2	0	2	3
Skcos12948	131	738	50	20	4	17	8	9	29	13
Skcos12949	15	38	0	0	0	1	0	0	1	0
Skcos1295	2	196	0	8	0	2	0	0	2	0
Skcos12950	11	234	3	0	2	1	0	0	0	0
Skcos12951	18	485	2	7	3	6	2	3	18	0
Skcos12952	7280	7569	156	407	17	7	10	7	19	3
Skcos12953	54	463	21	4	3	27	1	2	15	4
Skcos12954	24	602	5	5	0	6	0	0	8	0
Skcos12955	2192	887	506	9	24	161	69	100	167	142
Skcos12956	312	1883	91	44	43	46	12	15	73	29
Skcos12957	68	378	10	2	2	10	1	3	15	0
Skcos12958	197	4223	53	48	24	14	14	7	32	1
Skcos12959	3	398	3	13	2	3	1	3	4	0
Skcos1296	25	651	10	6	1	6	6	6	3	4
Skcos12960	21	172	4	6	0	1	0	2	2	0
Skcos12961	10	142	1	0	1	2	0	0	4	0
Skcos12962	24	516	2	8	1	12	0	4	14	1
Skcos12963	20	235	4	2	0	4	0	0	2	0
Skcos12964	149	678	93	43	17	141	41	12	129	30
Skcos12965	4	94	2	0	3	0	0	0	0	0
Skcos12966	440	170	0	9	3	1	0	1	4	0
Skcos12967	60	95	2	4	0	0	0	0	2	0
Skcos12968	24	76	0	0	0	0	0	2	1	0
Skcos12969	18	679	11	9	3	3	4	5	11	5
Skcos1297	1474	3645	194	45	32	92	33	31	89	51
Skcos12970	320	624	50	8	10	14	16	7	23	11
Skcos12971	143	285	63	13	4	7	1	4	9	0
Skcos12972	2	226	0	3	0	2	0	0	1	0
Skcos12973	89	412	11	10	7	5	2	0	14	8
Skcos12974	7	97	0	1	0	0	1	0	0	0
Skcos12975	233	6018	116	63	29	107	27	30	130	32
Skcos12976	0	0	0	0	0	0	0	0	0	0
Skcos12977	34	455	2	6	2	5	0	0	4	0
Skcos12978	26	72	1	0	0	0	0	0	0	1
Skcos12979	120	2545	36	24	16	11	7	6	7	5
Skcos1298	7	69	4	1	0	0	0	0	1	0
Skcos12980	28	294	0	7	2	3	0	0	7	0
Skcos12981	528	809	37	26	3	11	2	4	19	2
Skcos12982	1059	4175	603	92	167	290	67	129	731	135
Skcos12983	1	740	5	7	1	1	0	0	6	0
Skcos12984	11	176	0	5	1	1	0	0	2	0
Skcos12985	131	522	19	6	4	15	1	3	20	8
Skcos12986	475	1511	305	100	103	123	160	248	63	167
Skcos12987	274	1061	46	4	0	21	5	9	34	16
Skcos12988	0	1	0	0	0	0	0	0	0	0
Skcos12989	146	134	17	1	0	2	1	0	1	3
Skcos1299	293	1979	38	101	19	51	18	24	65	27
Skcos12990	23	256	3	3	5	2	2	0	8	0
Skcos12991	50	427	0	1	2	3	0	0	3	0
Skcos12992	39	330	23	7	16	6	5	3	6	1
Skcos12993	5	143	0	0	2	4	0	0	2	0
Skcos12994	0	2	0	0	0	0	0	0	0	0
Skcos12995	39	946	11	14	6	12	3	6	21	0
Skcos12996	50	1155	12	14	3	42	1	4	44	1
Skcos12997	24	103	9	0	0	1	0	1	1	1
Skcos12998	16	56	6	2	2	0	0	1	2	0
Skcos12999	9	122	0	1	0	0	0	0	3	0
Skcos13	65	842	11	6	1	2	3	0	8	4
Skcos130	1597	2356	588	39	29	45	25	30	60	21
Skcos1300	75	660	29	10	6	27	9	16	23	10
Skcos13000	27	207	1	0	2	3	0	1	4	2
Skcos13001	22	17	0	1	0	0	0	0	0	0
Skcos13002	10	86	3	5	7	7	0	0	4	2
Skcos13003	2	24	1	0	0	0	0	0	0	0
Skcos13004	178	1706	79	25	10	42	13	8	95	11
Skcos13005	1	14	2	1	0	2	0	0	0	0
Skcos13006	1659	6861	268	83	48	135	45	65	99	53
Skcos13007	1	3	0	0	0	0	0	0	0	0
Skcos13008	0	7	0	0	0	0	0	0	0	0
Skcos13009	25	117	7	0	0	1	0	0	4	0
Skcos1301	57	254	1	5	1	3	1	0	1	0
Skcos13010	1386	2253	235	41	40	101	25	24	138	26
Skcos13011	99	1894	44	13	15	108	23	19	32	26
Skcos13012	6	83	0	0	0	0	0	0	0	0
Skcos13013	14	567	16	7	13	2	4	0	1	0
Skcos13014	13	875	12	4	3	18	3	4	8	2
Skcos13015	149	452	5	15	9	6	2	1	4	3
Skcos13016	23	200	1	7	4	3	0	1	3	2
Skcos13017	5	10	6	11	8	23	1	1	9	5
Skcos13018	194	2184	22	25	11	24	5	4	31	3
Skcos13019	17	336	26	2	2	0	3	1	1	0
Skcos1302	60	85	9	1	2	2	0	0	0	1
Skcos13020	235	1561	25	22	8	15	3	8	16	5
Skcos13021	1879	2643	494	79	49	272	105	136	254	162
Skcos13022	43	49	3	0	2	10	2	0	7	0
Skcos13023	12	183	5	1	0	0	1	0	0	2
Skcos13024	10	23	1	1	1	1	0	0	1	0
Skcos13025	7	26	0	3	1	2	0	0	0	0
Skcos13026	188	2369	51	13	15	25	6	11	35	2
Skcos13027	0	142	1	1	0	1	3	0	1	1
Skcos13028	8	254	9	2	0	10	2	1	16	0
Skcos13029	16	204	3	1	3	3	0	0	4	0
Skcos1303	279	649	15	15	2	12	1	0	10	0
Skcos13030	21	402	5	3	1	3	0	0	4	1
Skcos13031	0	76	0	0	0	0	0	0	0	0
Skcos13032	13	380	8	4	2	27	0	6	18	2
Skcos13033	31	109	2	4	0	0	0	0	1	0
Skcos13034	131	254	6	0	0	10	0	3	7	1
Skcos13035	7	202	11	14	3	8	0	1	9	1
Skcos13036	45	225	13	2	4	7	0	1	1	1
Skcos13037	11	240	2	2	0	2	0	0	5	0
