geneID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control
Throt5846	3.8331094797397163	7.2339846813140385	9.11377758816424	4.989281775425941	7.51059299275647	3.051459374976842	6.144254242537733	9.07068969896195	5.277280961291144	8.508801581708862
Throt5849	0.0	1.0522159536456783	0.13208373316180058	0.0	0.1746649533199179	0.1453075892846115	0.0	0.0	0.22944699831700627	0.2578424721729958
Throt5848	0.0	0.0	0.0	0.0	0.0	0.1453075892846115	0.0	0.0	0.0	0.0
Throt7991	0.0	0.3945809826171294	0.3962511994854018	0.0	0.0	0.0	0.0	0.2591625628274843	0.0	0.0
Throt7990	1.3415883179089008	5.261079768228392	2.7737583963978123	3.4924972427981587	2.969304206438604	3.487382142830676	4.189264256275727	6.738226633514592	2.5239169814870692	9.024486526054853
Throt7993	0.12777031599132388	0.2630539884114196	0.0	0.0	0.0	0.4359227678538345	0.0	0.2591625628274843	0.22944699831700627	0.0
Throt7992	0.25554063198264776	1.1837429478513881	1.320837331618006	1.2473204438564853	1.0479897199195074	0.4359227678538345	0.0	1.0366502513099372	2.0650229848530564	1.289212360864979
Throt7995	0.0	1.7098509246742275	0.13208373316180058	0.4989281775425941	0.5239948599597537	0.1453075892846115	0.0	0.0	0.0	0.5156849443459915
Throt7994	0.3194257899783097	1.5783239304685177	0.26416746632360116	0.4989281775425941	0.0	0.1453075892846115	0.5585685675034303	0.7774876884824529	0.0	0.0
Throt7997	0.19165547398698582	2.2359589014970664	0.26416746632360116	0.4989281775425941	0.1746649533199179	1.8889986606999496	0.0	0.2591625628274843	2.0650229848530564	0.2578424721729958
Throt7996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22944699831700627	0.0
Throt7999	0.5749664219609575	0.9206889594399686	0.7925023989708035	0.24946408877129705	0.3493299066398358	0.4359227678538345	0.5585685675034303	0.0	0.22944699831700627	0.7735274165189874
Throt7998	0.12777031599132388	0.657634971028549	0.13208373316180058	0.0	0.3493299066398358	0.0	0.0	0.0	0.0	0.2578424721729958
Throt9122	0.5749664219609575	0.5261079768228392	0.13208373316180058	0.0	0.0	0.0	0.0	0.0	0.45889399663401254	0.0
Throt9123	0.0	0.1315269942057098	0.0	0.0	0.1746649533199179	0.0	0.0	0.0	0.0	0.0
Throt2316	0.3194257899783097	0.0	0.0	0.0	0.0	0.290615178569223	0.0	0.0	0.0	0.7735274165189874
Throt2317	0.0	0.0	0.0	0.0	0.1746649533199179	0.0	0.0	0.0	0.0	0.0
Throt9126	0.19165547398698582	0.3945809826171294	0.3962511994854018	0.0	0.1746649533199179	0.1453075892846115	0.5585685675034303	0.0	0.22944699831700627	0.2578424721729958
Throt2311	0.12777031599132388	1.972904913085647	0.7925023989708035	0.4989281775425941	0.5239948599597537	0.871845535707669	0.0	0.2591625628274843	1.3766819899020377	0.2578424721729958
Throt2312	0.12777031599132388	0.5261079768228392	0.13208373316180058	0.24946408877129705	0.0	0.1453075892846115	0.0	0.2591625628274843	0.0	0.0
Throt9125	0.0	0.3945809826171294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt9128	12.265950335167092	35.51228843554165	39.88928741486378	25.4453370546723	40.69693412354087	16.56506517844571	34.07268261770925	37.06024648433026	24.321381821602664	35.32441868770042
Throt9129	0.0	0.2630539884114196	0.0	0.24946408877129705	0.0	0.1453075892846115	0.0	0.0	0.0	0.0
Throt2318	0.5110812639652955	3.945809826171294	2.24542346375061	1.2473204438564853	0.3493299066398358	0.1453075892846115	1.1171371350068606	1.0366502513099372	2.0650229848530564	0.7735274165189874
Throt2319	0.06388515799566194	1.1837429478513881	0.9245861321326042	0.0	0.5239948599597537	0.7265379464230576	0.27928428375171516	0.0	0.22944699831700627	0.0
Throt13009	0.0	0.7891619652342589	0.26416746632360116	0.0	0.3493299066398358	0.290615178569223	0.0	0.5183251256549686	0.0	0.0
Throt13008	0.0	0.7891619652342589	0.13208373316180058	0.0	0.1746649533199179	0.290615178569223	0.0	0.5183251256549686	0.0	0.2578424721729958
Throt13003	8.368955697431714	31.69800560357606	31.435928492508538	8.232314929452803	9.781237385915402	18.30875624986105	30.162702645185238	29.803694725160693	13.996266897337382	24.237192384261608
Throt13002	0.06388515799566194	0.0	0.26416746632360116	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt13001	0.0	0.1315269942057098	0.13208373316180058	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt13000	0.06388515799566194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7735274165189874
Throt13007	16.48237076288078	51.953162711255366	52.173074598911235	39.16586193709364	58.86208926881233	23.10390669625323	46.081906819033	47.945074123084595	28.680874789625786	43.83322026940929
Throt13006	0.0	0.1315269942057098	0.26416746632360116	0.0	0.1746649533199179	0.1453075892846115	0.0	0.5183251256549686	0.0	0.2578424721729958
Throt13005	0.38331094797397164	6.44482271607978	4.35876319433942	0.7483922663138911	1.0479897199195074	1.4530758928461152	2.5135585537654364	2.332463065447359	0.6883409949510189	2.578424721729958
Throt13004	281.66966160287353	800.8678677185669	644.436534096425	429.57716086417355	703.2011020659894	305.7271678548226	617.7768356587939	629.5058651079594	356.56063538462774	657.2404615689663
Throt21938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt21939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt21932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt21933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt21930	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt21931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt21936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt21937	0.0	0.0	0.0	0.0	0.1746649533199179	0.0	0.0	0.0	0.0	0.0
Throt21934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt21935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt2866	0.5110812639652955	0.3945809826171294	0.5283349326472023	0.4989281775425941	1.0479897199195074	1.0171531249922805	1.1171371350068606	0.5183251256549686	0.45889399663401254	0.5156849443459915
