delta	P(X1/X2>1.25)	P(X2/X1>1.25)
Throt1	0.111633664755301	0.0106076388050985	0
Throt10	-2.08788664809828	0	1
Throt100	-0.236486036098029	0	0.980739032407071
Throt1000	-0.13678537235034	0.129500883267674	0.395258889998768
Throt10000	nan	nan	nan
Throt10001	0.0234909146833348	0	0
Throt10002	0.884072740873358	0.991412339236409	3.14149824868048e-05
Throt10003	0.207331927594102	0.480636878677618	0.0990801605128691
Throt10004	0.781167677640709	0.972520962744742	0.000187426459961273
Throt10005	0.0912190107153843	0.311858472188322	0.09847549791624
Throt10006	0.0329700796353857	0	0
Throt10007	0.0329700796353857	0	0
Throt10008	0.0329700796353857	0	0
Throt10009	0.0912190107153843	0.311858472188322	0.09847549791624
Throt1001	0.0857798199037837	0.297603492399081	0.0900374159494305
Throt10010	0.0912190107153843	0.311858472188322	0.09847549791624
Throt10011	0.0747351346842595	0.135496150908761	0.0114144830840545
Throt10012	nan	nan	nan
Throt10013	-0.0253616278952658	0	0
Throt10014	nan	nan	nan
Throt10015	-0.185884982933332	0.0686150886949078	0.446621647767875
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	0.314592690284991	0.609813954236737	0.055076977455867
Throt1002	0.181921133432486	0.451004050238527	0.105881068239553
Throt10020	0.454952594602497	0.948156945272997	4.910064955022e-07
Throt10021	-0.130629164435596	0.096345055044369	0.370955849994747
Throt10022	-0.0294174152711415	0	0
Throt10023	-0.421452333607695	0.0254361397232956	0.718181303169472
Throt10024	nan	nan	nan
Throt10025	0.0329700796353857	0	0
Throt10026	nan	nan	nan
Throt10027	0.0329700796353857	0	0
Throt10028	0.0329700796353857	0	0
Throt10029	nan	nan	nan
Throt1003	0.150164272941948	0.416162688106779	0.123420701473419
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	0.150164272941948	0.416162688106779	0.123420701473419
Throt10034	-0.262751366528046	0.0395841202363272	0.558574147413022
Throt10035	nan	nan	nan
Throt10036	0.0912190107153843	0.311858472188322	0.09847549791624
Throt10037	0.262121838575409	0.548429863252702	0.0753844895304031
Throt10038	-0.148634074918783	0.114920068020282	0.406196986947522
Throt10039	nan	nan	nan
Throt1004	0.620358373875722	0.887345014744209	0.00391037863227815
Throt10040	0.314592690284991	0.609813954236737	0.055076977455867
Throt10041	nan	nan	nan
Throt10042	0.314592690284991	0.609813954236737	0.055076977455867
Throt10043	0.144883941510811	0.405980445179878	0.120560233064112
Throt10044	nan	nan	nan
Throt10045	0.195053914918799	0.456143426802209	0.0756664833784522
Throt10046	0.10046962137104	0.323222373479363	0.107480653759766
Throt10047	0.276321284661007	0.569533187733564	0.0636970372667046
Throt10048	0.364240964546629	0.665134421949442	0.0394824565696814
Throt10049	0.0329700796353857	0	0
Throt1005	1.04141970988501	0.999728625751154	0
Throt10050	0.0329700796353857	0	0
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	0.364240964546629	0.665134421949442	0.0394824565696814
Throt10055	1.15255283432715	1	0
Throt10056	1.16706703342548	1	0
Throt10057	0.628783258370125	0.950030798964639	0.000270781938621361
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	0.0912190107153843	0.311858472188322	0.09847549791624
Throt10060	0.207331927594102	0.480636878677618	0.0990801605128691
Throt10061	0.262121838575409	0.548429863252702	0.0753844895304031
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	0.452530495963425	0.745943043514317	0.0214092662968724
Throt10065	0.314592690284991	0.609813954236737	0.055076977455867
Throt10066	0.262121838575409	0.548429863252702	0.0753844895304031
Throt10067	nan	nan	nan
Throt10068	1.17658965180279	1	0
Throt10069	-0.351098171621584	0.0311677328920903	0.654434664606922
Throt1007	-1.83397519022127	0	1
Throt10070	0.0611303509324438	0.21863118517325	0.0422796788009057
Throt10071	0.0912190107153843	0.311858472188322	0.09847549791624
Throt10072	nan	nan	nan
Throt10073	0.0912190107153843	0.311858472188322	0.09847549791624
Throt10074	0.0329700796353857	0	0
