delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	-0.118345853950335	0	0
Throt10	-0.105180804876603	0	0
Throt100	-0.133379676619913	0	0
Throt1000	0.0504289411586011	0	0
Throt10000	0.197629748367906	0.106477323946159	0.00765268829972827
Throt10001	0.0504289411586011	0	0
Throt10002	0.120636099227258	0.0227107800543504	0
Throt10003	0.118338654825911	0.0162609484902181	0
Throt10004	0.043803798902317	0	0
Throt10005	0.118338654825911	0.0162609484902181	0
Throt10006	nan	nan	nan
Throt10007	nan	nan	nan
Throt10008	0.118338654825911	0.0162609484902181	0
Throt10009	nan	nan	nan
Throt1001	0.043803798902317	0	0
Throt10010	nan	nan	nan
Throt10011	-0.398779051780164	0	0.0516139982320951
Throt10012	nan	nan	nan
Throt10013	-0.0371856765070568	0	0
Throt10014	0.118338654825911	0.0162609484902181	0
Throt10015	-0.419779813756752	0.000699444426664387	0.204939447306297
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	nan	nan	nan
Throt1002	-0.0307802403841616	0	0
Throt10020	-0.154763955165411	4.17839390054466e-06	0.00344531369866455
Throt10021	-0.0652075705636902	0	0
Throt10022	-0.119122201137614	0	0
Throt10023	-0.491672670104731	0.00140717677905285	0.297295936220024
Throt10024	nan	nan	nan
Throt10025	nan	nan	nan
Throt10026	nan	nan	nan
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	nan	nan	nan
Throt1003	nan	nan	nan
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	-0.366066946105744	0.00081938343387753	0.15600193062883
Throt10035	nan	nan	nan
Throt10036	nan	nan	nan
Throt10037	0.358684060775785	0.195971865056999	0.00445441422181053
Throt10038	-0.279917625729964	0.00727079692538971	0.147599614064414
Throt10039	nan	nan	nan
Throt1004	nan	nan	nan
Throt10040	nan	nan	nan
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	0.043803798902317	0	0
Throt10044	nan	nan	nan
Throt10045	-0.337388404418933	0.00284980954122688	0.17161973167832
Throt10046	-0.425425353035454	0.00243724236738129	0.255836931579688
Throt10047	-0.0307802403841616	0	0
Throt10048	0.197629748367906	0.106477323946159	0.00765268829972827
Throt10049	nan	nan	nan
Throt1005	1.6843139288153	0.999973273858855	0
Throt10050	nan	nan	nan
Throt10051	0.118338654825911	0.0162609484902181	0
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	nan	nan	nan
Throt10055	0.100850808168448	0.00020362443570674	2.01993244113475e-06
Throt10056	0.0805822419965932	0.000166117230706158	4.52904937697686e-06
Throt10057	0.064581033004607	0	0
Throt10058	nan	nan	nan
Throt10059	nan	nan	nan
Throt1006	nan	nan	nan
Throt10060	0.118338654825911	0.0162609484902181	0
Throt10061	nan	nan	nan
Throt10062	nan	nan	nan
Throt10063	nan	nan	nan
Throt10064	nan	nan	nan
Throt10065	0.278328119795997	0.152138965786934	0.00747387547194095
Throt10066	0.118338654825911	0.0162609484902181	0
Throt10067	nan	nan	nan
Throt10068	0.0752793638440183	0	0
Throt10069	-0.328189767731022	0.00205010666830121	0.144722682029772
Throt1007	-0.130780340190865	0	0
Throt10070	-0.201527367180929	0.0040068052084552	0.103112381951061
Throt10071	nan	nan	nan
Throt10072	nan	nan	nan
Throt10073	nan	nan	nan
Throt10074	nan	nan	nan
Throt10075	-0.045563084147028	0	0
Throt10076	nan	nan	nan
Throt10077	nan	nan	nan
Throt10078	-0.0371856765070568	0	0
Throt10079	nan	nan	nan
Throt1008	-0.0307802403841616	0	0
Throt10080	nan	nan	nan
Throt10081	nan	nan	nan
Throt10082	nan	nan	nan
Throt10083	nan	nan	nan
Throt10084	nan	nan	nan
Throt10085	nan	nan	nan
Throt10086	nan	nan	nan
Throt10087	nan	nan	nan
Throt10088	-0.109112695000242	0.000469666120982214	0.00919800905924129
Throt10089	nan	nan	nan
Throt1009	nan	nan	nan
Throt10090	-0.0371856765070568	0	0
Throt10091	nan	nan	nan
Throt10092	nan	nan	nan
Throt10093	nan	nan	nan
Throt10094	nan	nan	nan
Throt10095	-0.119122201137614	0	0
Throt10096	-0.103079734961485	0	0
Throt10097	nan	nan	nan
Throt10098	nan	nan	nan
Throt10099	0.278328119795997	0.152138965786934	0.00747387547194095
Throt101	-0.080626859913673	0	0
Throt1010	-0.201527367180929	0.0040068052084552	0.103112381951061
Throt10100	0.197629748367906	0.106477323946159	0.00765268829972827
Throt10101	-0.354495014721994	0.00434515728278094	0.202226177384965
Throt10102	-0.119122201137614	0	0
Throt10103	nan	nan	nan
Throt10104	nan	nan	nan
Throt10105	nan	nan	nan
Throt10106	nan	nan	nan
Throt10107	0.0504289411586011	0	0
Throt10108	nan	nan	nan
Throt10109	nan	nan	nan
Throt1011	0.278328119795997	0.152138965786934	0.00747387547194095
Throt10110	nan	nan	nan
Throt10111	-0.429941318286111	0	0.0463102901446926
Throt10112	nan	nan	nan
Throt10113	-0.119122201137614	0	0
Throt10114	-0.279917625729964	0.00727079692538971	0.147599614064414
Throt10115	-0.428073383360217	0	0.00879704595959292
Throt10116	-0.119122201137614	0	0
Throt10117	0.113526663973074	0	0
Throt10118	-0.119122201137614	0	0
Throt10119	nan	nan	nan
Throt1012	-0.214299379003435	0	9.29667327117622e-06
Throt10120	nan	nan	nan
Throt10121	0.043803798902317	0	0
Throt10122	-0.279917625729964	0.00727079692538971	0.147599614064414
Throt10123	0.118338654825911	0.0162609484902181	0
Throt10124	nan	nan	nan
Throt10125	nan	nan	nan
Throt10126	nan	nan	nan
Throt10127	-0.201527367180929	0.0040068052084552	0.103112381951061
Throt10128	-0.119122201137614	0	0
Throt10129	-0.0238422496374003	0	0
Throt1013	-0.178997002240087	0.00694281470852065	0.0762110553311683
Throt10130	0.118338654825911	0.0162609484902181	0
Throt10131	-0.119122201137614	0	0
Throt10132	nan	nan	nan
Throt10133	-0.0371856765070568	0	0
Throt10134	-0.0371856765070568	0	0
Throt10135	0.118338654825911	0.0162609484902181	0
Throt10136	0.81420752243308	0.644992219367652	1.60471419491147e-05
Throt10137	nan	nan	nan
Throt10138	nan	nan	nan
Throt10139	0.118338654825911	0.0162609484902181	0
Throt1014	-0.356572695021463	0	3.23815088377652e-06
Throt10140	nan	nan	nan
Throt10141	0.197629748367906	0.106477323946159	0.00765268829972827
Throt10142	-0.328189767731022	0.00205010666830121	0.144722682029772
Throt10143	nan	nan	nan
Throt10144	nan	nan	nan
Throt10145	-0.0371856765070568	0	0
Throt10146	-0.354495014721994	0.00434515728278094	0.202226177384965
Throt10147	nan	nan	nan
Throt10148	nan	nan	nan
Throt10149	0.509618811331587	0.308368137496068	0.00107508444779724
Throt1015	-0.224097914229848	0.00741040323729173	0.110850690859791
Throt10150	nan	nan	nan
Throt10151	-0.328908333011739	0.000164116988795104	0.102567601971977
Throt10152	nan	nan	nan
Throt10153	nan	nan	nan
Throt10154	-0.200567325102283	0.00346624185273618	0.0678090340245337
Throt10155	nan	nan	nan
Throt10156	nan	nan	nan
Throt10157	-0.279917625729964	0.00727079692538971	0.147599614064414
Throt10158	nan	nan	nan
Throt10159	nan	nan	nan
Throt1016	nan	nan	nan
Throt10160	-0.354495014721994	0.00434515728278094	0.202226177384965
Throt10161	0.043803798902317	0	0
Throt10162	0.118338654825911	0.0162609484902181	0
Throt10163	-0.446408970255346	0	0
Throt10164	-0.419203349313178	0	0
Throt10165	nan	nan	nan
Throt10166	nan	nan	nan
Throt10167	-0.0371856765070568	0	0
Throt10168	nan	nan	nan
Throt10169	0.197629748367906	0.106477323946159	0.00765268829972827
Throt1017	0.114615093883807	0	0
Throt10170	nan	nan	nan
Throt10171	nan	nan	nan
Throt10172	nan	nan	nan
Throt10173	0.118338654825911	0.0162609484902181	0
Throt10174	0.197629748367906	0.106477323946159	0.00765268829972827
Throt10175	0.197629748367906	0.106477323946159	0.00765268829972827
Throt10176	nan	nan	nan
Throt10177	nan	nan	nan
Throt10178	0.125861647539648	0.0305423832794062	0
Throt10179	nan	nan	nan
Throt1018	-0.532549023307949	3.45775028616945e-05	0.282595776804008
Throt10180	0.118338654825911	0.0162609484902181	0
