delta	P(X1/X2>2)	P(X2/X1>2)
Throt1	0.718801358426443	0.637085648023758	0
Throt10	0.904724197061698	1	0
Throt100	0.118722621785976	0	0
Throt1000	nan	nan	nan
Throt10000	-0.0495262676573817	0	0
Throt10001	0.303041267897637	0.0790913395159847	0.00013831132843979
Throt10002	0.271467098298817	0.0626722451985331	0.000182464473620242
Throt10003	0.0376824399735301	0	0
Throt10004	-0.0495262676573817	0	0
Throt10005	0.0376824399735301	0	0
Throt10006	nan	nan	nan
Throt10007	nan	nan	nan
Throt10008	nan	nan	nan
Throt10009	nan	nan	nan
Throt1001	nan	nan	nan
Throt10010	-0.0638004715710616	0	0
Throt10011	-0.0743443262216649	0	8.59625468824278e-06
Throt10012	nan	nan	nan
Throt10013	0.0778453289415469	0	0
Throt10014	0.0376824399735301	0	0
Throt10015	-0.00521967634441532	0	0
Throt10016	nan	nan	nan
Throt10017	nan	nan	nan
Throt10018	nan	nan	nan
Throt10019	-0.000887708591299873	0	0
Throt1002	-0.00605890819527387	0	0
Throt10020	0.295567881080062	0.00615201271452604	0
Throt10021	0.21860698640444	0.041029359655925	0.000296235080196832
Throt10022	nan	nan	nan
Throt10023	-0.00605890819527387	0	0
Throt10024	-0.000887708591299873	0	0
Throt10025	-0.0740077341257754	0	0
Throt10026	-0.0740077341257754	0	0
Throt10027	nan	nan	nan
Throt10028	nan	nan	nan
Throt10029	0.0778453289415469	0	0
Throt1003	0.0376824399735301	0	0
Throt10030	nan	nan	nan
Throt10031	nan	nan	nan
Throt10032	nan	nan	nan
Throt10033	nan	nan	nan
Throt10034	-0.0718907751617179	0	0
Throt10035	-0.000887708591299873	0	0
Throt10036	-0.00605890819527387	0	0
Throt10037	0.0376824399735301	0	0
Throt10038	-0.0495262676573817	0	0
Throt10039	-0.000887708591299873	0	0
Throt1004	-0.000887708591299873	0	0
Throt10040	nan	nan	nan
Throt10041	nan	nan	nan
Throt10042	nan	nan	nan
Throt10043	0.0376824399735301	0	0
Throt10044	nan	nan	nan
Throt10045	0.253080010498623	0.0562823486971033	0.000304453545594671
Throt10046	0.191707882071188	0.0354927141531341	0
Throt10047	0.135823729719894	0.0109670361803107	0
Throt10048	-0.0638004715710616	0	0
Throt10049	-0.0400288757096183	0	0
Throt1005	0.21860698640444	0.041029359655925	0.000296235080196832
Throt10050	-0.000887708591299873	0	0
Throt10051	nan	nan	nan
Throt10052	nan	nan	nan
Throt10053	nan	nan	nan
Throt10054	nan	nan	nan
Throt10055	0.175628518965955	0	0
Throt10056	0.175628518965955	0	0
Throt10057	-0.421328307562744	1.20625695674104e-06	0.117993179180629
Throt10058	nan	nan	nan
